ScenarioTime,FrameRate,A VR Pos,A VR Rot,A XR Origin Pos,A XR Origin  Rot,A car Pos,A car Rot,A accel,A steering,A velocity,A indicators,A Horn Button,0 car Pos,0 car Rot,0 accel,0 steering,0 velocity,0 indicators
0.0,0.014902,"(-34.86164474487305, 1.2195948362350464, -0.8660109043121338)","(340.1469421386719, 34.37152862548828, 344.98944091796875)","(-34.92139434814453, 0.7514936327934265, -0.7430428862571716)","(0.00047066857223398983, 102.66210174560547, 0.00010559106158325449)","(-34.999996185302734, -0.004055239260196686, -1.399999976158142)","(0.0004823674098588526, 90.00003051757812, -1.4762821365366108e-07)",0.0,0.006287,"(0.000031, 0.001429, 0.000000)",LeftFalse_RightFalse,False,"(1.3997719287872314, -0.0038223806768655777, -35.00030517578125)","(0.009015550836920738, 0.006567538715898991, -0.0026690023951232433)",0.0,0.0,"(-0.000036, 0.001093, -0.000120)",LeftFalse_RightFalse
0.081055,0.02813,"(-34.84911346435547, 1.2109102010726929, -0.8885607719421387)","(348.59637451171875, 50.803619384765625, 344.73260498046875)","(-34.92134475708008, 0.7515748143196106, -0.7430464029312134)","(0.0010016241576522589, 102.66459655761719, 0.00022685712610837072)","(-34.99998092651367, -0.003973316866904497, -1.4000000953674316)","(0.001026991754770279, 90.00252532958984, 1.7835760672824108e-06)",0.0,0.006287,"(0.000253, 0.000714, -0.000002)",LeftFalse_RightFalse,False,"(1.3997761011123657, -0.0037873191758990288, -35.00029754638672)","(0.005858119577169418, 0.0065675657242536545, -0.001618491020053625)",0.001578,-0.146074,"(-0.000022, 0.000016, -0.000082)",LeftFalse_RightFalse
0.188843,0.044054,"(-34.84622573852539, 1.2010219097137451, -0.9122979044914246)","(355.2433166503906, 63.84979248046875, 348.51849365234375)","(-34.921287536621094, 0.7516201734542847, -0.7430469393730164)","(0.0011314635630697012, 102.66463470458984, 0.0002565637114457786)","(-34.99992752075195, -0.003927767276763916, -1.4000005722045898)","(0.0011601849691942334, 90.00257110595703, 2.306971055077156e-06)",0.031745,0.006287,"(0.000680, 0.000201, -0.000004)",LeftFalse_RightFalse,False,"(1.3997708559036255, -0.0038152714259922504, -35.00025177001953)","(0.0031845001503825188, 0.007850343361496925, -0.0008777637267485261)",0.001035,-0.056432,"(-0.000178, -0.000395, 0.001420)",LeftFalse_RightFalse
0.298157,0.057114,"(-34.85281753540039, 1.193277359008789, -0.933129608631134)","(359.0934753417969, 73.93731689453125, 352.4903869628906)","(-34.920921325683594, 0.7516334652900696, -0.7430446743965149)","(0.00014580239076167345, 102.6622314453125, 4.095562326256186e-05)","(-34.99951934814453, -0.003915772307664156, -1.4000017642974854)","(0.0001512339513283223, 90.00016784667969, 7.999638910405338e-06)",0.112162,0.006287,"(0.009106, 0.000028, -0.000028)",LeftFalse_RightFalse,False,"(1.399766206741333, -0.00385727034881711, -35.000179290771484)","(0.0017647658241912723, 0.007985918782651424, -0.00044224856537766755)",0.022864,-0.055228,"(0.000007, -0.000347, -0.000402)",LeftFalse_RightFalse
0.404236,0.066906,"(-34.85634994506836, 1.1920523643493652, -0.9406417608261108)","(359.5386047363281, 76.33490753173828, 355.5677490234375)","(-34.918609619140625, 0.7516360878944397, -0.7430488467216492)","(-0.003968205768615007, 102.66072082519531, -0.0008524401346221566)","(-34.997135162353516, -0.0039185816422104836, -1.4000084400177002)","(-0.004058553837239742, 89.99864959716797, 3.8123198464745656e-05)",0.199773,0.006287,"(0.034473, -0.000066, -0.000091)",LeftFalse_RightFalse,False,"(1.3997557163238525, -0.00388802750967443, -34.999778747558594)","(0.000329475908074528, 0.007917598821222782, -0.00028493767604231834)",0.082995,-0.054153,"(-0.000177, -0.000241, 0.006604)",LeftFalse_RightFalse
0.509155,0.074506,"(-34.8576774597168, 1.1909244060516357, -0.9545785784721375)","(359.2306823730469, 78.65372467041016, 357.749755859375)","(-34.91215515136719, 0.7516354918479919, -0.7430635690689087)","(359.98834228515625, 102.6593017578125, -0.002523949835449457)","(-34.990562438964844, -0.003929327242076397, -1.4000258445739746)","(359.9880676269531, 89.99723052978516, 9.322973346570507e-05)",0.279794,0.006287,"(0.089832, -0.000129, -0.000225)",LeftFalse_RightFalse,False,"(1.3997067213058472, -0.003908785060048103, -34.997833251953125)","(-0.0033114212565124035, 0.007258347701281309, -0.00043547447421588004)",0.183099,-0.05333,"(-0.000650, -0.000164, 0.029032)",LeftFalse_RightFalse
0.616333,0.081045,"(-34.84928894042969, 1.1909303665161133, -0.9634386301040649)","(359.9810485839844, 80.83551788330078, 358.01934814453125)","(-34.89917755126953, 0.7516331076622009, -0.743098795413971)","(359.97833251953125, 102.66110229492188, -0.0046959067694842815)","(-34.97747039794922, -0.003944882657378912, -1.400059461593628)","(359.97784423828125, 89.99903106689453, 0.0001666784955887124)",0.351813,0.006287,"(0.155309, -0.000159, -0.000393)",LeftFalse_RightFalse,False,"(1.3995835781097412, -0.0039253393188118935, -34.992469787597656)","(359.99029541015625, 0.0038738567382097244, -0.0007490170537494123)",0.283204,-0.052942,"(-0.001632, -0.000150, 0.073460)",LeftFalse_RightFalse
0.721741,0.085913,"(-34.82902145385742, 1.1909366846084595, -0.9659390449523926)","(359.7216796875, 83.25252532958984, 358.53460693359375)","(-34.87826919555664, 0.7516299486160278, -0.7431549429893494)","(359.9676208496094, 102.66346740722656, 359.99298095703125)","(-34.956443786621094, -0.003962129820138216, -1.4001133441925049)","(359.9668884277344, 90.00140380859375, 0.0002388582070125267)",0.41663,0.0047,"(0.239150, -0.000165, -0.000609)",LeftFalse_RightFalse,False,"(1.3993276357650757, -0.003942064940929413, -34.98103332519531)","(359.97991943359375, -0.0035383598878979683, -0.0013336746487766504)",0.37935,-0.051985,"(-0.003026, -0.000167, 0.139164)",LeftFalse_RightFalse
0.828552,0.090094,"(-34.80030822753906, 1.1897772550582886, -0.9643567800521851)","(-0.0009902173187583685, 83.81476593017578, 359.1509704589844)","(-34.846797943115234, 0.7516282200813293, -0.7432227730751038)","(359.9561767578125, 102.66616821289062, 359.9903869628906)","(-34.92484664916992, -0.0039801280945539474, -1.400177240371704)","(359.95513916015625, 90.00409698486328, 0.00021826261945534497)",0.474966,-0.006561,"(0.355375, -0.000165, -0.000693)",LeftFalse_RightFalse,False,"(1.3988823890686035, -0.0039616841822862625, -34.960506439208984)","(359.966796875, 359.9778747558594, -0.00202107522636652)",0.483705,-0.051276,"(-0.005270, -0.000190, 0.246772)",LeftFalse_RightFalse
0.936218,0.09361,"(-34.75777816772461, 1.1897896528244019, -0.9627647399902344)","(0.43528175354003906, 85.15704345703125, 358.9776916503906)","(-34.80322265625, 0.7516360878944397, -0.7431686520576477)","(359.9457092285156, 102.6633529663086, 359.9870910644531)","(-34.88109588623047, -0.003997466526925564, -1.4001151323318481)","(359.9442138671875, 90.00128173828125, -0.0006826957105658948)",0.527468,-0.02594,"(0.465608, -0.000156, 0.001134)",LeftFalse_RightFalse,False,"(1.3981897830963135, -0.003982733003795147, -34.92827224731445)","(359.9524841308594, 359.9489440917969, -0.002808211138471961)",0.558785,-0.050886,"(-0.007721, -0.000202, 0.360235)",LeftFalse_RightFalse
