ScenarioTime,FrameRate,A VR Pos,A VR Rot,A XR Origin Pos,A XR Origin  Rot,A car Pos,A car Rot,A accel,A steering,A velocity,A indicators,A Horn Button,0 car Pos,0 car Rot,0 accel,0 steering,0 velocity,0 indicators
0.0,0.014788,"(0.9924420118331909, 1.2060835361480713, -34.82550811767578)","(354.3440246582031, 359.94476318359375, 357.41033935546875)","(1.008804202079773, 1.2100504636764526, -34.73090744018555)","(-0.00016735181270632893, 1.9707932472229004, -6.3462366597377695e-06)","(1.399999976158142, -0.0041266209445893764, -34.99999237060547)","(-0.0001674710656516254, 2.31847934628604e-06, -5.872529413863958e-07)",0.0,-0.005127,"(0.000000, 0.001961, 0.000047)",LeftFalse_RightFalse,False,"(-35.00030517578125, -0.0038072376046329737, -1.399773120880127)","(0.008240275084972382, 90.00655364990234, -0.002395899500697851)",0.0,0.0,"(-0.000109, 0.000726, 0.000032)",LeftFalse_RightFalse
0.072632,0.026355,"(0.9927659034729004, 1.2061032056808472, -34.82576370239258)","(354.1925048828125, 0.03537842258810997, 357.3571472167969)","(1.008802890777588, 1.2101541757583618, -34.73090744018555)","(0.0008619588916189969, 1.9705251455307007, 3.0117642381810583e-05)","(1.399999976158142, -0.004018042236566544, -35.00001525878906)","(0.0008624847396276891, -0.0002655547868926078, 4.57056188452043e-07)",0.0,-0.005127,"(-0.000001, 0.001022, -0.000224)",LeftFalse_RightFalse,False,"(-35.00028991699219, -0.00378752825781703, -1.3997763395309448)","(0.005580811761319637, 90.00655364990234, -0.0015322185354307294)",0.002257,-0.070975,"(-0.000074, -0.000123, 0.000019)",LeftFalse_RightFalse
0.173706,0.041295,"(0.9918057918548584, 1.206141710281372, -34.82583999633789)","(354.1940002441406, 0.13013528287410736, 357.30364990234375)","(1.0087984800338745, 1.2102243900299072, -34.730926513671875)","(0.001260983059182763, 1.9695230722427368, 4.317866842029616e-05)","(1.4000002145767212, -0.003945963457226753, -35.00003433227539)","(0.0012617220636457205, -0.0012679104693233967, -2.120870021826704e-07)",0.0,-0.005127,"(-0.000005, 0.000396, 0.001101)",LeftFalse_RightFalse,False,"(-35.000247955322266, -0.003816051408648491, -1.3997750282287598)","(0.0031132292933762074, 90.00601196289062, -0.0008650231175124645)",0.001638,-0.026374,"(-0.000214, -0.000395, 0.000018)",LeftFalse_RightFalse
0.274048,0.053115,"(0.9907286167144775, 1.2061667442321777, -34.825862884521484)","(354.1928405761719, 0.03688822314143181, 357.4286193847656)","(1.0087988376617432, 1.2102491855621338, -34.730987548828125)","(0.0014249555533751845, 1.9695490598678589, 5.1788028940791264e-05)","(1.4000005722045898, -0.003920413553714752, -35.000099182128906)","(0.0014258935116231441, -0.0012415527598932385, 2.753175522229867e-06)",0.0,-0.005127,"(0.000009, 0.000119, -0.001728)",LeftFalse_RightFalse,False,"(-35.00017166137695, -0.0038549061864614487, -1.3997738361358643)","(0.0017738289898261428, 90.00704193115234, -0.00046820720308460295)",0.003304,-0.026562,"(0.000385, -0.000349, 0.000017)",LeftFalse_RightFalse
0.375122,0.062688,"(0.9907288551330566, 1.206174373626709, -34.82585906982422)","(354.1904602050781, 0.04964436590671539, 357.4786071777344)","(1.0087993144989014, 1.2102575302124023, -34.730979919433594)","(0.0009913136018440127, 1.9696276187896729, 3.100279354839586e-05)","(1.4000004529953003, -0.003914153203368187, -35.000083923339844)","(0.0009917933493852615, -0.0011630547232925892, -3.1068245789356297e-06)",0.0,-0.005127,"(0.000000, 0.000011, -0.000111)",LeftFalse_RightFalse,False,"(-35.00001525878906, -0.003884779056534171, -1.399772047996521)","(0.0008901256369426847, 90.00900268554688, -0.0002653433184605092)",-0.004668,-0.026753,"(0.001454, -0.000234, 0.000025)",LeftFalse_RightFalse
0.4729,0.06971,"(0.990801215171814, 1.2051277160644531, -34.82377243041992)","(354.8791198730469, 0.03922200947999954, 357.4263916015625)","(1.0088012218475342, 1.210257649421692, -34.730960845947266)","(0.0008095484809018672, 1.9700242280960083, 2.627563662827015e-05)","(1.4000005722045898, -0.00391483074054122, -35.00006103515625)","(0.0008099732804112136, -0.000766370038036257, -1.5802821735633188e-06)",0.0,-0.005127,"(-0.000001, -0.000020, -0.000517)",LeftFalse_RightFalse,False,"(-34.99990463256836, -0.003903151722624898, -1.3997688293457031)","(0.0008421427337452769, 90.00785827636719, -0.0001452668511774391)",0.000914,-0.02696,"(0.000002, -0.000131, 0.000011)",LeftFalse_RightFalse
0.571167,0.075436,"(0.9908013939857483, 1.2038191556930542, -34.82376480102539)","(355.1229553222656, 0.25946512818336487, 357.1546325683594)","(1.0087990760803223, 1.2102553844451904, -34.73099899291992)","(0.0008301387424580753, 1.9695708751678467, 2.7294156097923405e-05)","(1.4000005722045898, -0.003916946705430746, -35.000099182128906)","(0.0008305863593704998, -0.0012198900803923607, -1.2704632581517217e-06)",0.0,-0.005127,"(0.000000, -0.000022, -0.000502)",LeftFalse_RightFalse,False,"(-34.999916076660156, -0.003913160413503647, -1.3997688293457031)","(0.0009287421125918627, 90.00726318359375, -6.368309550452977e-05)",0.000411,-0.027151,"(0.001240, -0.000066, 0.000029)",LeftFalse_RightFalse
0.670776,0.080267,"(0.9918233156204224, 1.2037955522537231, -34.82376480102539)","(355.05010986328125, 0.535305917263031, 357.1097106933594)","(1.0088037252426147, 1.2102539539337158, -34.73096466064453)","(0.0007099388749338686, 1.9706196784973145, 2.3739781681797467e-05)","(1.4000003337860107, -0.00391895929351449, -35.00006866455078)","(0.0007103352691046894, -0.0001710333744995296, -6.890589361319144e-07)",0.0,-0.005127,"(-0.000007, -0.000016, 0.001599)",LeftFalse_RightFalse,False,"(-34.9998779296875, -0.003918255679309368, -1.3997684717178345)","(0.0008451979956589639, 90.00901794433594, -2.7846337616210803e-05)",0.003206,-0.02733,"(0.000894, -0.000030, 0.000017)",LeftFalse_RightFalse
0.769531,0.083956,"(0.9918222427368164, 1.2047911882400513, -34.823726654052734)","(354.7493896484375, 0.5625737905502319, 357.15765380859375)","(1.008795976638794, 1.2102530002593994, -34.730926513671875)","(0.0006252127350308001, 1.9690368175506592, 1.9689938199007884e-05)","(1.399999976158142, -0.003920341841876507, -35.00001907348633)","(0.0006255199550651014, -0.0017540731932967901, -1.8227739246867714e-06)",0.0,-0.005127,"(-0.000003, -0.000012, 0.000030)",LeftFalse_RightFalse,False,"(-34.99976348876953, -0.0039206077344715595, -1.399765968322754)","(0.0005056567024439573, 90.01090240478516, -3.351803752593696e-05)",-0.003359,-0.027517,"(0.001137, -0.000019, 0.000019)",LeftFalse_RightFalse
0.869995,0.087252,"(0.9918172359466553, 1.205946922302246, -34.82369613647461)","(354.15545654296875, 0.8235495686531067, 357.2140197753906)","(1.0087882280349731, 1.2102527618408203, -34.73089599609375)","(0.0005278144381009042, 1.9674056768417358, 1.3625620340462774e-05)","(1.3999998569488525, -0.003921062219887972, -34.99997329711914)","(0.0005279707838781178, -0.003385100979357958, -4.533979790721787e-06)",0.0,-0.005127,"(-0.000008, -0.000005, 0.001258)",LeftFalse_RightFalse,False,"(-34.99971008300781, -0.0039216578006744385, -1.3997639417648315)","(0.0007247175090014935, 90.00950622558594, -1.2136440091126133e-05)",0.002891,-0.027732,"(0.000004, -0.000002, 0.000005)",LeftFalse_RightFalse
