ScenarioTime,FrameRate,A VR Pos,A VR Rot,A XR Origin Pos,A XR Origin  Rot,A car Pos,A car Rot,A accel,A steering,A velocity,A indicators,A Horn Button,0 car Pos,0 car Rot,0 accel,0 steering,0 velocity,0 indicators
0.0,0.013886,"(-34.3408317565918, 1.5259801149368286, -0.836486279964447)","(12.609843254089355, 98.66527557373047, 357.4684753417969)","(-34.822906494140625, 0.6336272954940796, 0.7347337007522583)","(0.0006014988175593317, 59.342220306396484, -0.00035662282607518137)","(-34.999996185302734, -0.0039216578006744385, -1.399999976158142)","(0.000699271506164223, 90.00003051757812, -6.690950726806477e-08)",0.0,0.099731,"(0.000000, 0.000000, 0.000000)",LeftFalse_RightFalse,False,"(1.3997828960418701, -0.0039217472076416016, -35.00026321411133)","(0.0006991170230321586, 0.006567616946995258, 2.2079726136325917e-07)",0.0,0.0,"(0.000000, -0.000001, 0.000000)",LeftFalse_RightFalse
0.054565,0.022031,"(-34.344173431396484, 1.5112730264663696, -0.8370927572250366)","(13.046924591064453, 98.3917465209961, 357.5274963378906)","(-34.82290267944336, 0.6336281299591064, 0.734732985496521)","(0.0006677472847513855, 59.34286117553711, -0.00042885573930107057)","(-35.00001525878906, -0.0039216019213199615, -1.3999983072280884)","(0.000793092476669699, 90.00067901611328, -2.8422966352081858e-05)",0.0,0.099731,"(-0.001173, 0.000001, 0.000086)",LeftFalse_RightFalse,False,"(1.3997828960418701, -0.0039217472076416016, -35.00026321411133)","(0.0006990983383730054, 0.006567616946995258, 3.4749191968330706e-07)",0.002998,0.0,"(0.000000, -0.000001, 0.000000)",LeftFalse_RightFalse
0.113159,0.029329,"(-34.35112380981445, 1.4912796020507812, -0.8357234001159668)","(13.090338706970215, 98.18803405761719, 358.1507873535156)","(-34.823001861572266, 0.6336302161216736, 0.7347414493560791)","(0.0008345175883732736, 59.342247009277344, -0.0006100509781390429)","(-35.00009536743164, -0.003921461757272482, -1.399991512298584)","(0.0010289462516084313, 90.00006103515625, -9.925435006152838e-05)",0.0,0.099731,"(-0.001233, 0.000003, 0.000109)",LeftFalse_RightFalse,False,"(1.3997828960418701, -0.0039217108860611916, -35.000244140625)","(0.0006321738474071026, 0.0056344070471823215, -1.0052401648863452e-06)",0.00101,0.0,"(-0.000001, -0.000001, 0.000442)",LeftFalse_RightFalse
0.172119,0.035275,"(-34.36185836791992, 1.4665578603744507, -0.8342537879943848)","(12.791781425476074, 98.4482650756836, 358.6209716796875)","(-34.82304763793945, 0.633629322052002, 0.734745979309082)","(0.0007856973097659647, 59.34172821044922, -0.0005479332758113742)","(-35.0001220703125, -0.003921425901353359, -1.3999886512756348)","(0.0009552751434966922, 89.99954223632812, -7.071292930049822e-05)",0.0,0.099731,"(-0.001113, 0.000001, 0.000092)",LeftFalse_RightFalse,False,"(1.3997828960418701, -0.0039217472076416016, -35.00023651123047)","(0.0006819430855102837, 0.007221364416182041, -1.6795431179161824e-07)",0.002683,0.0,"(0.000003, 0.000000, -0.000129)",LeftFalse_RightFalse
0.231567,0.040096,"(-34.37569046020508, 1.437121868133545, -0.8331747651100159)","(12.242440223693848, 98.83484649658203, 358.759033203125)","(-34.82309341430664, 0.6336291432380676, 0.7347503900527954)","(0.000761434668675065, 59.34144973754883, -0.0005220540915615857)","(-35.00015640258789, -0.003921397961676121, -1.399985432624817)","(0.0009212078293785453, 89.99925994873047, -6.082269101170823e-05)",0.0,0.099731,"(-0.001151, -0.000001, 0.000097)",LeftFalse_RightFalse,False,"(1.3997828960418701, -0.003921828232705593, -35.00015640258789)","(0.0005005713901482522, 0.007852152921259403, -1.6996983731587534e-07)",0.002367,0.0,"(0.000001, -0.000002, 0.001879)",LeftFalse_RightFalse
0.291748,0.044106,"(-34.39292907714844, 1.4034849405288696, -0.8315712809562683)","(11.34375286102295, 98.86669158935547, 358.208251953125)","(-34.82304382324219, 0.6336264610290527, 0.7347469329833984)","(0.0005474070203490555, 59.34162139892578, -0.0002872204640880227)","(-35.0001106262207, -0.0039215730503201485, -1.399989366531372)","(0.000617351324763149, 89.99942779541016, 3.205301254638471e-05)",0.0,0.099731,"(-0.001389, -0.000004, 0.000089)",LeftFalse_RightFalse,False,"(1.3997828960418701, -0.0039218878373503685, -35.00007629394531)","(0.00042626209324225783, 0.008147070184350014, 6.358891369018238e-07)",0.00192,0.0,"(0.000002, -0.000002, 0.002035)",LeftFalse_RightFalse
0.349243,0.046786,"(-34.409706115722656, 1.3694195747375488, -0.8306152820587158)","(10.559484481811523, 98.46656799316406, 358.0767517089844)","(-34.82308578491211, 0.6336274147033691, 0.7347502708435059)","(0.0005826310953125358, 59.340904235839844, -0.00034535315353423357)","(-35.000125885009766, -0.003921616822481155, -1.3999876976013184)","(0.0006772944470867515, 89.99871063232422, 6.748272163292768e-09)",0.0,0.099731,"(-0.000090, -0.000001, 0.000014)",LeftFalse_RightFalse,False,"(1.3997828960418701, -0.003922050818800926, -34.99995803833008)","(0.00032699338044039905, 0.00822441652417183, -9.510395102552138e-07)",-0.003486,0.0,"(-0.000001, -0.000003, 0.000946)",LeftFalse_RightFalse
0.407349,0.049053,"(-34.43185043334961, 1.3299360275268555, -0.8318920731544495)","(10.951577186584473, 97.13595581054688, 358.5439758300781)","(-34.82307815551758, 0.6336255073547363, 0.7347497940063477)","(0.0004322884778957814, 59.33981704711914, -0.00018086367344949394)","(-35.00007629394531, -0.003921717405319214, -1.3999922275543213)","(0.0004640906990971416, 89.99762725830078, 6.48440545774065e-05)",0.0,0.099731,"(-0.000108, -0.000003, -0.000002)",LeftFalse_RightFalse,False,"(1.3997822999954224, -0.003921955823898315, -34.99994659423828)","(0.000620294944383204, 0.00742112984880805, -4.923592769046081e-06)",0.000251,0.0,"(-0.000003, 0.000003, 0.000010)",LeftFalse_RightFalse
0.464966,0.050773,"(-34.45246505737305, 1.3003857135772705, -0.8378453254699707)","(11.062716484069824, 95.31193542480469, 359.8426208496094)","(-34.82305145263672, 0.6336251497268677, 0.7347464561462402)","(0.0004273267986718565, 59.33985137939453, -0.00017015374032780528)","(-35.00004959106445, -0.003921848256140947, -1.3999958038330078)","(0.0004543615796137601, 89.99766540527344, 7.152707985369489e-05)",0.0,0.099731,"(0.000638, -0.000002, -0.000063)",LeftFalse_RightFalse,False,"(1.3997822999954224, -0.003921754192560911, -34.999916076660156)","(0.0006405884632840753, 0.008277044631540775, -1.1898949878741405e-06)",-0.00018,0.0,"(0.000000, 0.000002, 0.000247)",LeftFalse_RightFalse
0.523682,0.052355,"(-34.47444534301758, 1.2824127674102783, -0.846152126789093)","(9.754426002502441, 93.88410949707031, 0.7326548099517822)","(-34.82307815551758, 0.6336260437965393, 0.7347480058670044)","(0.0004742716846521944, 59.33857345581055, -0.0002323311782674864)","(-35.000030517578125, -0.003921916708350182, -1.3999978303909302)","(0.000526449759490788, 89.99639129638672, 4.197797170490958e-05)",0.0,0.099731,"(-0.000060, 0.000001, -0.000014)",LeftFalse_RightFalse,False,"(1.3997818231582642, -0.003921618685126305, -34.99991226196289)","(0.0007784912595525384, 0.007763934787362814, -3.982057933171745e-06)",0.000141,0.0,"(-0.000003, 0.000002, 0.000004)",LeftFalse_RightFalse
0.579956,0.05314,"(-34.502220153808594, 1.275291085243225, -0.8587942123413086)","(7.08466911315918, 93.39810943603516, 1.0240932703018188)","(-34.82319641113281, 0.6336272954940796, 0.7347562313079834)","(0.0005939353141002357, 59.33599853515625, -0.0003565443039406091)","(-35.00005340576172, -0.003921829164028168, -1.3999969959259033)","(0.0006927252979949117, 89.99380493164062, -3.855946488329209e-06)",0.0,0.099731,"(0.000757, 0.000002, -0.000069)",LeftFalse_RightFalse,False,"(1.3997818231582642, -0.0039215050637722015, -34.999908447265625)","(0.0008189699146896601, 0.005220036953687668, 9.111470831157931e-07)",0.001915,0.0,"(-0.000001, 0.000002, 0.001337)",LeftFalse_RightFalse
0.636719,0.053875,"(-34.53217697143555, 1.2714195251464844, -0.872239887714386)","(4.441033363342285, 92.86002349853516, 1.7104147672653198)","(-34.82322692871094, 0.6336288452148438, 0.7347577810287476)","(0.0007084502722136676, 59.33598327636719, -0.00048166283522732556)","(-35.000083923339844, -0.003921627998352051, -1.3999944925308228)","(0.0008550332277081907, 89.99380493164062, -5.3094205213710666e-05)",0.0,0.099731,"(-0.000785, 0.000002, 0.000066)",LeftFalse_RightFalse,False,"(1.3997818231582642, -0.003921478055417538, -34.999881744384766)","(0.0007574356277473271, 0.006398320198059082, 2.650944679771783e-06)",0.000847,0.0,"(0.000001, -0.000001, -0.000533)",LeftFalse_RightFalse
0.693115,0.054379,"(-34.554691314697266, 1.26841139793396, -0.8807996511459351)","(3.134371519088745, 92.07495880126953, 1.6151715517044067)","(-34.82320022583008, 0.6336274147033691, 0.7347569465637207)","(0.0006060079322196543, 59.33610916137695, -0.0003590888518374413)","(-35.00006103515625, -0.003921521361917257, -1.399996042251587)","(0.0007044078665785491, 89.99392700195312, 1.1099473340436816e-07)",0.0,0.099731,"(0.000567, 0.000002, -0.000060)",LeftFalse_RightFalse,False,"(1.3997818231582642, -0.00392152601853013, -34.99987030029297)","(0.0008014006889425218, 0.00806276872754097, 4.7278840611397754e-06)",0.000186,0.0,"(0.000002, -0.000003, -0.001191)",LeftFalse_RightFalse
0.75061,0.054994,"(-34.59177780151367, 1.2603405714035034, -0.8896161317825317)","(3.54066801071167, 89.46722412109375, 359.925048828125)","(-34.82315444946289, 0.63362717628479, 0.7347519397735596)","(0.0005945813027210534, 59.33716583251953, -0.00034341143327765167)","(-35.00005340576172, -0.003921528346836567, -1.3999974727630615)","(0.0006865843315608799, 89.99497985839844, 7.770544470986351e-06)",0.0,0.099731,"(0.000162, -0.000001, -0.000018)",LeftFalse_RightFalse,False,"(1.3997818231582642, -0.003921528346836567, -34.999820709228516)","(0.0006601945497095585, 0.009239534847438335, 2.7811049676529365e-06)",-0.000667,0.0,"(0.000000, -0.000001, 0.001552)",LeftFalse_RightFalse
0.806641,0.055198,"(-34.6258659362793, 1.2540088891983032, -0.8973029851913452)","(4.311310768127441, 86.2364273071289, 359.0497131347656)","(-34.82316970825195, 0.6336280107498169, 0.734752893447876)","(0.0006689343717880547, 59.33735275268555, -0.00042464848957024515)","(-35.00007629394531, -0.003921538591384888, -1.399996042251587)","(0.000791968428529799, 89.99516296386719, -2.4198439859901555e-05)",0.0,0.099731,"(0.001376, 0.000002, -0.000120)",LeftFalse_RightFalse,False,"(1.3997818231582642, -0.003921463154256344, -34.99984359741211)","(0.0007579814991913736, 0.009440271183848381, 2.043002723439713e-06)",0.003493,0.0,"(0.000000, -0.000001, 0.000002)",LeftFalse_RightFalse
0.864502,0.055739,"(-34.65529251098633, 1.2503082752227783, -0.9049986600875854)","(4.204307556152344, 84.00618743896484, 359.30194091796875)","(-34.82316970825195, 0.6336265802383423, 0.7347511053085327)","(0.0005651479004882276, 59.33675765991211, -0.0003009589563589543)","(-35.00005340576172, -0.00392148969694972, -1.399999737739563)","(0.0006396179087460041, 89.99457550048828, 2.9281090974109247e-05)",0.0,0.099854,"(0.000519, -0.000002, -0.000054)",LeftFalse_RightFalse,False,"(1.3997818231582642, -0.003921478986740112, -34.999839782714844)","(0.0007509744609706104, 0.009527193382382393, 1.6916302456593257e-06)",-0.00069,0.0,"(0.000001, 0.000000, 0.000299)",LeftFalse_RightFalse
