ScenarioTime,FrameRate,A VR Pos,A VR Rot,A XR Origin Pos,A XR Origin  Rot,A car Pos,A car Rot,A accel,A steering,A velocity,A indicators,A Horn Button,0 car Pos,0 car Rot,0 accel,0 steering,0 velocity,0 indicators
0.0,0.014789,"(34.870933532714844, 1.196527123451233, 1.004560947418213)","(342.2787170410156, 268.4797668457031, 358.1101379394531)","(34.95056915283203, 1.2579052448272705, -0.7913931608200073)","(-0.0008248481899499893, 285.0443420410156, -0.00022217701189219952)","(34.9999885559082, -0.00419696606695652, 1.399999976158142)","(-0.0008542463183403015, 270.0000305175781, -4.595859763867338e-07)",0.0,0.015137,"(-0.000068, 0.002645, 0.000000)",LeftFalse_RightFalse,False,"(-34.15998458862305, -0.003806379158049822, -1.0098530054092407)","(0.003643245669081807, 90.7042236328125, -0.00013750216749031097)",0.0,0.0,"(-0.000052, -0.000364, 0.000002)",LeftFalse_RightFalse
0.056152,0.023042,"(34.872108459472656, 1.197035551071167, 1.0054292678833008)","(342.2724609375, 268.44635009765625, 358.0560607910156)","(34.9505500793457, 1.2580180168151855, -0.7913932800292969)","(0.0002879152598325163, 285.0446472167969, 7.36607180442661e-05)","(35.00000762939453, -0.004083453677594662, 1.3999998569488525)","(0.00029716690187342465, 270.0003662109375, -3.596919668780174e-06)",0.0,0.014648,"(0.000931, 0.001680, -0.000010)",LeftFalse_RightFalse,False,"(-34.15998077392578, -0.0038286966737359762, -1.0098533630371094)","(0.0027010939083993435, 90.7042236328125, -9.808287722989917e-05)",0.003282,0.214359,"(-0.000037, -0.000406, 0.000002)",LeftFalse_RightFalse
0.121582,0.03152,"(34.87430191040039, 1.1965993642807007, 1.0054570436477661)","(342.4900207519531, 268.57965087890625, 357.8271179199219)","(34.950592041015625, 1.2581000328063965, -0.7913939952850342)","(0.0011203018948435783, 285.0444641113281, 0.0002909322502091527)","(35.00006103515625, -0.004000846296548843, 1.3999991416931152)","(0.0011574201053008437, 270.00018310546875, -9.831371244217735e-06)",0.0,0.013062,"(0.002266, 0.001022, -0.000024)",LeftFalse_RightFalse,False,"(-34.15995788574219, -0.0038538561202585697, -1.009857177734375)","(0.0018656280590221286, 90.70391845703125, -3.377002212801017e-05)",0.002089,0.193705,"(0.001195, -0.000368, -0.000203)",LeftFalse_RightFalse
0.188721,0.038643,"(34.875267028808594, 1.1964622735977173, 1.0061798095703125)","(342.35919189453125, 268.6536560058594, 357.84063720703125)","(34.95054626464844, 1.2581467628479004, -0.7913929224014282)","(0.0013608119916170835, 285.04632568359375, 0.00035905715776607394)","(35.000091552734375, -0.003953843377530575, 1.3999987840652466)","(0.0014073696220293641, 270.00201416015625, -6.469637810369022e-06)",0.0,0.011292,"(0.001784, 0.000487, -0.000017)",LeftFalse_RightFalse,False,"(-34.15982437133789, -0.0038754651322960854, -1.0098787546157837)","(0.0010101995430886745, 90.70476531982422, 0.00015812985657248646)",-0.004299,0.194469,"(0.000345, -0.000281, -0.000039)",LeftFalse_RightFalse
0.253784,0.04395,"(34.877296447753906, 1.1987417936325073, 1.0059468746185303)","(341.72137451171875, 268.6087341308594, 357.9383239746094)","(34.95051574707031, 1.2581703662872314, -0.7913925647735596)","(0.0012179474579170346, 285.0472412109375, 0.00032975320937111974)","(35.000091552734375, -0.003929999191313982, 1.399998664855957)","(0.001261795754544437, 270.0029296875, 2.313536697329255e-06)",0.0,0.009064,"(-0.001272, 0.000254, 0.000013)",LeftFalse_RightFalse,False,"(-34.159637451171875, -0.0038918592035770416, -1.0099096298217773)","(0.0007948080310598016, 90.70540618896484, 0.0001414742728229612)",0.004219,0.195204,"(-0.000009, -0.000204, -0.000125)",LeftFalse_RightFalse
0.316772,0.047741,"(34.87797546386719, 1.200247049331665, 1.0058698654174805)","(341.042236328125, 268.56304931640625, 357.9226989746094)","(34.95048522949219, 1.2581812143325806, -0.7913913726806641)","(0.0011531548807397485, 285.0479736328125, 0.00031182795646600425)","(35.000091552734375, -0.003919070586562157, 1.399998664855957)","(0.0011945709120482206, 270.0036926269531, 1.8206264940090477e-06)",0.0,0.008514,"(-0.000440, 0.000117, 0.000003)",LeftFalse_RightFalse,False,"(-34.15957260131836, -0.003902614116668701, -1.0099233388900757)","(0.0006910496158525348, 90.70511627197266, 9.129750105785206e-05)",-0.005232,0.195951,"(0.000138, -0.000146, -0.000051)",LeftFalse_RightFalse
0.379028,0.050642,"(34.87730407714844, 1.2008004188537598, 1.005311369895935)","(340.7072448730469, 268.45159912109375, 357.8481750488281)","(34.950439453125, 1.258185625076294, -0.7913914918899536)","(0.0008228690712712705, 285.047607421875, 0.00022911214909981936)","(35.000022888183594, -0.003914982080459595, 1.3999992609024048)","(0.0008541351999156177, 270.0033264160156, 7.670804734516423e-06)",0.0,0.005646,"(-0.000676, 0.000039, 0.000005)",LeftFalse_RightFalse,False,"(-34.15938949584961, -0.003910358529537916, -1.0099555253982544)","(0.000684318772982806, 90.7060546875, 7.200051913969219e-05)",0.00336,0.196649,"(-0.000004, -0.000095, -0.000128)",LeftFalse_RightFalse
0.442627,0.053252,"(34.87495803833008, 1.1994633674621582, 1.0041457414627075)","(341.2790832519531, 268.1612854003906, 358.1187744140625)","(34.95042037963867, 1.2581863403320312, -0.7913914918899536)","(0.0007947138510644436, 285.0475158691406, 0.0002194029511883855)","(35.0, -0.003914243541657925, 1.3999994993209839)","(0.0008244250784628093, 270.0032043457031, 5.602393684966955e-06)",0.0,0.004944,"(0.000319, -0.000008, 0.000000)",LeftFalse_RightFalse,False,"(-34.15935516357422, -0.0039148516952991486, -1.0099631547927856)","(0.0007774289115332067, 90.70601654052734, -3.48553730873391e-05)",-0.000198,0.197408,"(0.001534, -0.000054, -0.000269)",LeftFalse_RightFalse
0.510132,0.056098,"(34.873348236083984, 1.198102355003357, 1.003893256187439)","(342.07965087890625, 267.99481201171875, 358.24658203125)","(34.95057678222656, 1.258185625076294, -0.7913944721221924)","(0.0009142222115769982, 285.0440368652344, 0.00024475756799802184)","(35.000022888183594, -0.003915088716894388, 1.3999993801116943)","(0.0009464183240197599, 269.9997253417969, -9.322515097665018e-07)",0.0,0.004913,"(-0.000021, -0.000018, -0.000001)",LeftFalse_RightFalse,False,"(-34.15945053100586, -0.00391756184399128, -1.009944200515747)","(0.000963135389611125, 90.70561981201172, -0.00018877402180805802)",-0.000438,0.198253,"(0.000006, -0.000034, 0.000056)",LeftFalse_RightFalse
0.572876,0.05741,"(34.87205505371094, 1.1976908445358276, 1.0040228366851807)","(342.5698547363281, 267.97821044921875, 358.3305358886719)","(34.95059585571289, 1.2581844329833984, -0.7913956642150879)","(0.0007641621050424874, 285.0426025390625, 0.00020470509480219334)","(34.99998474121094, -0.003916376270353794, 1.3999993801116943)","(0.000791105383541435, 269.9983215332031, -6.614347967115464e-07)",0.0,0.004913,"(0.000797, -0.000024, -0.000005)",LeftFalse_RightFalse,False,"(-34.159446716308594, -0.0039193397387862206, -1.009944200515747)","(0.0009160196059383452, 90.70561981201172, -0.00012261656229384243)",0.0022,0.199004,"(-0.000004, -0.000023, -0.000010)",LeftFalse_RightFalse
0.640015,0.059367,"(34.87068176269531, 1.1968111991882324, 1.0043097734451294)","(342.82147216796875, 268.2308349609375, 358.204345703125)","(34.95055389404297, 1.2581831216812134, -0.791394829750061)","(0.0007946385885588825, 285.043701171875, 0.00021110048692207783)","(34.9999885559082, -0.00391777791082859, 1.3999992609024048)","(0.0008221971802413464, 269.9994201660156, -2.395870751570328e-06)",0.0,0.004913,"(-0.000783, -0.000019, 0.000002)",LeftFalse_RightFalse,False,"(-34.15943145751953, -0.0039204685017466545, -1.0099468231201172)","(0.0008374836761504412, 90.7046127319336, -7.240960985654965e-05)",-0.003066,0.199819,"(-0.001029, -0.000015, 0.000155)",LeftFalse_RightFalse
0.705322,0.060559,"(34.86957550048828, 1.1965301036834717, 1.0045809745788574)","(343.0548095703125, 268.33074951171875, 358.13055419921875)","(34.95058822631836, 1.2581819295883179, -0.7913953065872192)","(0.0007890827255323529, 285.0428771972656, 0.00021142300101928413)","(34.9999885559082, -0.003918938338756561, 1.3999994993209839)","(0.0008169154752977192, 269.9985656738281, -6.423103400265973e-07)",0.0,0.004913,"(-0.000836, -0.000015, 0.000002)",LeftFalse_RightFalse,False,"(-34.15923309326172, -0.0039217229932546616, -1.0099828243255615)","(0.000663026818074286, 90.70529174804688, 6.535361899295822e-05)",0.00324,0.200544,"(0.000000, -0.000002, -0.000050)",LeftFalse_RightFalse
0.7677,0.060914,"(34.86854934692383, 1.1964366436004639, 1.0048422813415527)","(343.1654968261719, 268.35736083984375, 358.0673828125)","(34.950599670410156, 1.258181095123291, -0.7913962602615356)","(0.000758546928409487, 285.0421142578125, 0.00020179282000754029)","(34.999969482421875, -0.003919887822121382, 1.3999992609024048)","(0.0007849267567507923, 269.997802734375, -2.0164043235126883e-06)",0.0,0.004913,"(0.001411, -0.000013, -0.000008)",LeftFalse_RightFalse,False,"(-34.1591911315918, -0.003921695984899998, -1.0099916458129883)","(0.000644582964014262, 90.70527648925781, 4.8659625463187695e-05)",0.001681,0.201282,"(0.002090, 0.000000, -0.000368)",LeftFalse_RightFalse
0.833496,0.061892,"(34.86764907836914, 1.195738434791565, 1.0057802200317383)","(343.259765625, 268.48272705078125, 357.9339904785156)","(34.950660705566406, 1.2581802606582642, -0.7913973331451416)","(0.0007837481680326164, 285.0406799316406, 0.00020934698113705963)","(34.999977111816406, -0.0039205402135849, 1.3999993801116943)","(0.0008112249779514968, 269.99639892578125, -1.2624999499166734e-06)",0.0,0.004913,"(-0.000106, -0.000009, 0.000000)",LeftFalse_RightFalse,False,"(-34.15911102294922, -0.003921819385141134, -1.0100057125091553)","(0.0005926239537075162, 90.7056655883789, 3.750079849851318e-05)",-0.002013,0.202049,"(0.000960, -0.000002, -0.000121)",LeftFalse_RightFalse
