ScenarioTime,FrameRate,A VR Pos,A VR Rot,A XR Origin Pos,A XR Origin  Rot,A car Pos,A car Rot,A accel,A steering,A velocity,A indicators,A Horn Button,0 car Pos,0 car Rot,0 accel,0 steering,0 velocity,0 indicators
0.0,0.013829,"(34.24418640136719, 0.9708914756774902, 1.2061755657196045)","(38.48014450073242, 88.98362731933594, 140.79318237304688)","(34.232566833496094, 0.8372211456298828, 0.7789612412452698)","(-0.0006995393196120858, 90.99076843261719, -1.1204865586478263e-05)","(34.999996185302734, -0.003921687602996826, 1.399999976158142)","(0.0006996283191256225, 270.0000305175781, -8.923873338062549e-07)",0.0,0.064545,"(0.000000, 0.000000, 0.000000)",LeftFalse_RightFalse,False,"(-34.15996551513672, -0.003921806812286377, -1.0098540782928467)","(0.0006992487469688058, 90.7042236328125, 7.967651072249282e-07)",0.0,0.0,"(0.000000, 0.000000, 0.000000)",LeftFalse_RightFalse
0.053955,0.021856,"(34.255577087402344, 0.9961288571357727, 1.200182318687439)","(45.83400344848633, 88.82909393310547, 140.80621337890625)","(34.23258972167969, 0.8372209072113037, 0.7789445519447327)","(-0.0007240044651553035, 90.98951721191406, -1.2989640708838124e-05)","(35.00000762939453, -0.003921568393707275, 1.399999976158142)","(0.0007241207640618086, 269.998779296875, 4.6907004502827476e-07)",0.0,0.064545,"(0.001664, 0.000001, -0.000064)",LeftFalse_RightFalse,False,"(-34.15996551513672, -0.003921806812286377, -1.0098540782928467)","(0.0006992453127168119, 90.7042236328125, 6.732899464623188e-07)",0.00401,0.178102,"(0.000000, 0.000000, 0.000000)",LeftFalse_RightFalse
0.119263,0.030556,"(34.28339767456055, 1.049237608909607, 1.1865932941436768)","(61.7510871887207, 86.24457550048828, 131.589111328125)","(34.232566833496094, 0.8372215628623962, 0.7789676189422607)","(-0.000663934217300266, 90.99120330810547, -2.5110788556048647e-05)","(35.000003814697266, -0.0039216093719005585, 1.4000009298324585)","(0.000664269260596484, 270.0004577636719, 1.3627131011162419e-05)",0.0,0.064545,"(-0.000108, -0.000001, 0.000016)",LeftFalse_RightFalse,False,"(-34.15993881225586, -0.003921691328287125, -1.0098578929901123)","(0.0006354348151944578, 90.70516967773438, 2.468075035721995e-05)",-0.003063,0.160307,"(0.001067, 0.000000, -0.000135)",LeftFalse_RightFalse
0.183838,0.037367,"(34.323463439941406, 1.1126208305358887, 1.1703234910964966)","(79.44876098632812, 72.57182312011719, 113.08544158935547)","(34.23256301879883, 0.8372212648391724, 0.778968334197998)","(-0.0006830491474829614, 90.99120330810547, -1.643477844481822e-05)","(35.0, -0.003921687602996826, 1.4000015258789062)","(0.0006832313374616206, 270.0004577636719, 4.621914740710054e-06)",0.0,0.064545,"(0.002270, 0.000000, -0.000114)",LeftFalse_RightFalse,False,"(-34.16002655029297, -0.003921395633369684, -1.0098425149917603)","(0.0007452433346770704, 90.70438385009766, -4.3117706809425727e-05)",0.00587,0.16098,"(-0.000002, -0.000002, 0.000003)",LeftFalse_RightFalse
0.249512,0.043028,"(34.372344970703125, 1.1690514087677002, 1.1522935628890991)","(83.91204833984375, 311.9399719238281, 350.8660583496094)","(34.23258590698242, 0.8372209072113037, 0.7789573669433594)","(-0.0007160806562751532, 90.99040222167969, -1.0370190466346685e-05)","(35.0000114440918, -0.0039216578006744385, 1.4000012874603271)","(0.0007161530083976686, 269.9996643066406, -2.0129130007262575e-06)",0.0,0.064545,"(-0.000269, 0.000000, 0.000019)",LeftFalse_RightFalse,False,"(-34.160003662109375, -0.003921579569578171, -1.0098451375961304)","(0.0006195723544806242, 90.7056884765625, 3.0138902729959227e-05)",-0.00584,0.161606,"(0.000813, -0.000002, -0.000100)",LeftFalse_RightFalse
0.312744,0.047047,"(34.441158294677734, 1.224723219871521, 1.1234619617462158)","(68.9392318725586, 284.1436767578125, 325.10833740234375)","(34.232582092285156, 0.8372225165367126, 0.7789401412010193)","(-0.0005767230177298188, 90.98898315429688, -3.864787504426204e-05)","(34.99999237060547, -0.003921627998352051, 1.4000035524368286)","(0.0005773051525466144, 269.99822998046875, 2.8670096071437e-05)",0.0,0.064545,"(-0.001998, 0.000000, 0.000118)",LeftFalse_RightFalse,False,"(-34.15995788574219, -0.0039217607118189335, -1.0098507404327393)","(0.000591940013691783, 90.70572662353516, 5.3031359129818156e-05)",0.006726,0.162227,"(0.000000, 0.000001, -0.000030)",LeftFalse_RightFalse
0.373535,0.049813,"(34.4830207824707, 1.250760555267334, 1.1053835153579712)","(59.519954681396484, 280.64288330078125, 324.37066650390625)","(34.2325439453125, 0.837223470211029, 0.7789318561553955)","(-0.0004858259635511786, 90.98811340332031, -4.989960143575445e-05)","(34.999942779541016, -0.003921764902770519, 1.4000070095062256)","(0.0004866162780672312, 269.99737548828125, 4.1491861338727176e-05)",0.0,0.064545,"(-0.000654, -0.000002, 0.000049)",LeftFalse_RightFalse,False,"(-34.159950256347656, -0.003921794705092907, -1.0098507404327393)","(0.0006922550383023918, 90.70673370361328, -2.5142417143797502e-05)",-0.000545,0.162816,"(-0.000683, -0.000001, 0.000165)",LeftFalse_RightFalse
0.435181,0.052173,"(34.550594329833984, 1.2674002647399902, 1.0755592584609985)","(43.567665100097656, 279.4033203125, 332.4395751953125)","(34.23260498046875, 0.8372195959091187, 0.7789216637611389)","(-0.0008331969729624689, 90.98749542236328, 1.924458410940133e-05)","(35.000003814697266, -0.003921806812286377, 1.4000040292739868)","(0.0008327395771630108, 269.99676513671875, -3.3648313547018915e-05)",0.0,0.064545,"(0.000230, 0.000000, -0.000018)",LeftFalse_RightFalse,False,"(-34.15975570678711, -0.003922333009541035, -1.0098779201507568)","(0.0005540810525417328, 90.70775604248047, 0.00010408346133772284)",-0.001252,0.163387,"(-0.000003, 0.000007, -0.000112)",LeftFalse_RightFalse
0.499756,0.054644,"(34.60808563232422, 1.2660033702850342, 1.0512434244155884)","(29.396373748779297, 278.81695556640625, 340.84375)","(34.23260498046875, 0.8372198343276978, 0.778922438621521)","(-0.0008221011958085, 90.9875259399414, 1.4457585166383069e-05)","(35.000003814697266, -0.003921598196029663, 1.400004267692566)","(0.0008217281429097056, 269.99676513671875, -2.8670176106970757e-05)",0.0,0.064545,"(0.002373, 0.000001, -0.000111)",LeftFalse_RightFalse,False,"(-34.15975570678711, -0.00392187898978591, -1.0098801851272583)","(0.0007200576364994049, 90.70775604248047, 1.2961917491338681e-05)",0.005669,0.164025,"(0.000002, 0.000006, -0.000022)",LeftFalse_RightFalse
0.56543,0.056866,"(34.64482498168945, 1.25716233253479, 1.0355372428894043)","(19.544029235839844, 278.8233642578125, 347.0338134765625)","(34.23261642456055, 0.8372208476066589, 0.7789185047149658)","(-0.0007344039622694254, 90.98729705810547, -8.438673830823973e-06)","(35.0000114440918, -0.003921568393707275, 1.4000040292739868)","(0.0007344402256421745, 269.9965515136719, -4.260999048710801e-06)",0.0,0.064545,"(-0.000648, 0.000000, 0.000038)",LeftFalse_RightFalse,False,"(-34.15973663330078, -0.003921706695109606, -1.0098817348480225)","(0.0007456985767930746, 90.70809173583984, -2.729490734054707e-05)",-0.004527,0.16467,"(0.000371, 0.000002, -0.000012)",LeftFalse_RightFalse
0.627808,0.057961,"(34.681758880615234, 1.2349399328231812, 1.0266250371932983)","(15.965835571289062, 277.45965576171875, 354.4652404785156)","(34.232582092285156, 0.8372235298156738, 0.7789111137390137)","(-0.0004980320809409022, 90.98650360107422, -5.151078585186042e-05)","(34.999961853027344, -0.00392149668186903, 1.400007724761963)","(0.00049884821055457, 269.9957580566406, 4.289173011784442e-05)",0.0,0.064545,"(-0.001056, -0.000002, 0.000071)",LeftFalse_RightFalse,False,"(-34.159584045410156, -0.003921980038285255, -1.0099033117294312)","(0.0006244306568987668, 90.70915985107422, 7.325048500206321e-05)",0.003222,0.165248,"(-0.000002, 0.000006, -0.000089)",LeftFalse_RightFalse
0.690796,0.058979,"(34.70112228393555, 1.2183728218078613, 1.0259641408920288)","(13.919337272644043, 274.6163024902344, 357.9321594238281)","(34.232547760009766, 0.8372228145599365, 0.7789229154586792)","(-0.0005600331351161003, 90.98725128173828, -3.418366759433411e-05)","(34.99993896484375, -0.003921641502529383, 1.4000093936920166)","(0.000560540531296283, 269.99652099609375, 2.449512976454571e-05)",0.0,0.064545,"(-0.000374, -0.000002, 0.000025)",LeftFalse_RightFalse,False,"(-34.15952682495117, -0.003921763971447945, -1.0099139213562012)","(0.000561756722163409, 90.70957946777344, 9.565208165440708e-05)",-0.007252,0.165857,"(0.000523, 0.000001, -0.000104)",LeftFalse_RightFalse
0.752808,0.059567,"(34.71463394165039, 1.2089757919311523, 1.025618314743042)","(9.293707847595215, 273.4239807128906, 356.4911193847656)","(34.23252868652344, 0.8372214436531067, 0.7789425849914551)","(-0.0006640314240939915, 90.9886474609375, -1.627300116524566e-05)","(34.999935150146484, -0.003921790514141321, 1.400010108947754)","(0.0006642134976573288, 269.9978942871094, 4.788927981280722e-06)",0.0,0.064545,"(0.000969, 0.000000, -0.000039)",LeftFalse_RightFalse,False,"(-34.159542083740234, -0.00392155209556222, -1.0099129676818848)","(0.0007534997421316803, 90.70989990234375, -1.6676049199304543e-05)",0.006505,0.166474,"(0.000003, 0.000002, -0.000012)",LeftFalse_RightFalse
0.826416,0.062389,"(34.72938537597656, 1.196885108947754, 1.0269906520843506)","(6.985266208648682, 272.2887268066406, 356.370849609375)","(34.232540130615234, 0.8372211456298828, 0.7789292931556702)","(-0.0007004598155617714, 90.98762512207031, -1.198448626382742e-05)","(34.999935150146484, -0.003921694587916136, 1.4000104665756226)","(0.0007005622610449791, 269.99688720703125, -1.287643129899152e-07)",0.0,0.064545,"(-0.001580, 0.000001, 0.000083)",LeftFalse_RightFalse,False,"(-34.15947723388672, -0.003921522758901119, -1.0099238157272339)","(0.0005885062855668366, 90.71224212646484, 5.6994314945768565e-05)",-0.001133,0.167157,"(0.000926, -0.000005, -0.000095)",LeftFalse_RightFalse
0.888184,0.062264,"(34.73420715332031, 1.1880736351013184, 1.0288410186767578)","(11.76826286315918, 270.0874328613281, 357.1259765625)","(34.23252487182617, 0.8372212648391724, 0.7789351940155029)","(-0.0006833811639808118, 90.98796844482422, -1.5019569218566176e-05)","(34.99992370605469, -0.003921698313206434, 1.4000117778778076)","(0.0006835387903265655, 269.9972229003906, 3.2010775612434372e-06)",0.0,0.064545,"(0.000466, 0.000002, -0.000009)",LeftFalse_RightFalse,False,"(-34.15937042236328, -0.00392192741855979, -1.0099388360977173)","(0.0006285563576966524, 90.71370697021484, 5.1175637054257095e-05)",0.001363,0.167737,"(0.000002, 0.000004, -0.000066)",LeftFalse_RightFalse
0.947876,0.06174,"(34.73819351196289, 1.182106614112854, 1.031445026397705)","(13.62272834777832, 268.2098083496094, 356.3192443847656)","(34.232521057128906, 0.8372209072113037, 0.7789466977119446)","(-0.0007335752015933394, 90.98882293701172, -4.148154857830377e-06)","(34.99993133544922, -0.003921598196029663, 1.4000115394592285)","(0.0007335373666137457, 269.9980773925781, -8.536537279724143e-06)",0.0,0.064545,"(0.000313, 0.000000, -0.000014)",LeftFalse_RightFalse,False,"(-34.15938186645508, -0.003921720199286938, -1.0099374055862427)","(0.0008635036647319794, 90.71286010742188, -7.889076368883252e-05)",-0.002539,0.168345,"(0.000381, 0.000004, -0.000031)",LeftFalse_RightFalse
1.011719,0.062175,"(34.74226379394531, 1.1804964542388916, 1.0349153280258179)","(13.8751220703125, 266.2349853515625, 355.39276123046875)","(34.23250961303711, 0.8372209072113037, 0.7789621949195862)","(-0.0007259560516104102, 90.98995971679688, -7.3112178142764606e-06)","(34.99993133544922, -0.003921613097190857, 1.4000120162963867)","(0.0007259738631546497, 269.99920654296875, -5.242234237812227e-06)",0.0,0.064545,"(-0.001486, 0.000001, 0.000077)",LeftFalse_RightFalse,False,"(-34.15943145751953, -0.00392131507396698, -1.009929895401001)","(0.0009246835834346712, 90.71244812011719, -0.00011110256309621036)",0.004551,0.168992,"(-0.000001, 0.000001, 0.000017)",LeftFalse_RightFalse
1.072021,0.0618,"(34.746952056884766, 1.18213951587677, 1.0394082069396973)","(13.60685920715332, 264.6931457519531, 355.402099609375)","(34.232486724853516, 0.8372220396995544, 0.7789556980133057)","(-0.0006248422432690859, 90.98931121826172, -2.7765279810409993e-05)","(34.999900817871094, -0.003921642899513245, 1.4000144004821777)","(0.0006252290331758559, 269.9985656738281, 1.6957128536887467e-05)",0.0,0.064545,"(-0.000353, -0.000002, 0.000030)",LeftFalse_RightFalse,False,"(-34.15937805175781, -0.003921345807611942, -1.0099377632141113)","(0.0007096578483469784, 90.71383666992188, 7.5797947829414625e-06)",-0.005028,0.169557,"(-0.000577, -0.000004, 0.000087)",LeftFalse_RightFalse
1.135986,0.062216,"(34.756309509277344, 1.1845048666000366, 1.044203758239746)","(12.227461814880371, 262.29510498046875, 355.7041015625)","(34.23249816894531, 0.8372208476066589, 0.7789638638496399)","(-0.0007341722957789898, 90.98994445800781, -3.95315828427556e-06)","(34.99991989135742, -0.003921615891158581, 1.4000136852264404)","(0.0007341309101320803, 269.99920654296875, -8.741826604818925e-06)",0.0,0.064545,"(-0.000740, 0.000001, 0.000039)",LeftFalse_RightFalse,False,"(-34.159263610839844, -0.003921913914382458, -1.0099560022354126)","(0.0006657066405750811, 90.7142333984375, 5.2765331929549575e-05)",0.003172,0.170164,"(-0.000003, 0.000003, -0.000080)",LeftFalse_RightFalse
1.197998,0.062179,"(34.76106262207031, 1.1860239505767822, 1.0471043586730957)","(11.24863052368164, 261.53985595703125, 354.9572448730469)","(34.232444763183594, 0.837223470211029, 0.7789560556411743)","(-0.0004928992129862309, 90.98908233642578, -4.920294668409042e-05)","(34.999855041503906, -0.003921687602996826, 1.4000180959701538)","(0.0004936761688441038, 269.99835205078125, 4.067298141308129e-05)",0.0123,0.064545,"(-0.001921, -0.000001, 0.000106)",LeftFalse_RightFalse,False,"(-34.15924072265625, -0.0039217472076416016, -1.0099600553512573)","(0.0007052856381051242, 90.7146224975586, 2.327971287741093e-06)",0.001226,0.17077,"(0.000470, 0.000001, -0.000053)",LeftFalse_RightFalse
