ScenarioTime,FrameRate,A VR Pos,A VR Rot,A XR Origin Pos,A XR Origin  Rot,A car Pos,A car Rot,A accel,A steering,A velocity,A indicators,A Horn Button,0 car Pos,0 car Rot,0 accel,0 steering,0 velocity,0 indicators
0.0,0.014122,"(-36.89395523071289, 1.1743972301483154, -1.022714376449585)","(5.559648036956787, 89.98236846923828, 1.3365291357040405)","(-36.38577651977539, 0.8460209369659424, -0.8132143616676331)","(0.0031503350473940372, 275.2184753417969, 0.00028881229809485376)","(-37.1899528503418, -0.0068149142898619175, -1.400000810623169)","(-0.003163545858114958, 89.96025848388672, 1.1143247320433147e-06)",0.0,0.030731,"(0.000325, 0.025425, 0.000000)",LeftFalse_RightFalse,False,"(-1.1499989032745361, -0.0038265706971287727, 35.60989761352539)","(0.003084549680352211, 179.37066650390625, 4.416617116476118e-07)",0.0,0.0,"(0.000000, -0.000402, 0.000036)",LeftFalse_RightFalse
0.075073,0.026312,"(-36.8900146484375, 1.1763993501663208, -1.0245338678359985)","(5.221112251281738, 90.34347534179688, 1.7130730152130127)","(-36.38563919067383, 0.847449779510498, -0.8132009506225586)","(-0.003800394479185343, 275.2174377441406, -0.0003685919218696654)","(-37.189910888671875, -0.005287807434797287, -1.400002360343933)","(0.003818180412054062, 89.95921325683594, 1.875508860393893e-05)",0.0,0.030731,"(0.000318, 0.015767, -0.000006)",LeftFalse_RightFalse,False,"(-1.1499987840652466, -0.0038554053753614426, 35.60988998413086)","(0.002163930097594857, 179.37066650390625, 4.5353223754318606e-07)",0.044518,-0.031938,"(0.000000, -0.000362, 0.000027)",LeftFalse_RightFalse
0.180786,0.042196,"(-36.887203216552734, 1.176257610321045, -1.0252686738967896)","(5.731497287750244, 90.4075698852539, 1.4745129346847534)","(-36.385581970214844, 0.8484218716621399, -0.8131831884384155)","(359.9931640625, 275.2160949707031, -0.0006426649633795023)","(-37.189884185791016, -0.004273063037544489, -1.400003433227539)","(0.006862646900117397, 89.95787811279297, 1.3798366126138717e-05)",0.0,0.030762,"(0.000178, 0.005252, -0.000011)",LeftFalse_RightFalse,False,"(-1.149980068206787, -0.0038873273879289627, 35.60919952392578)","(-0.00019292326760478318, 179.36837768554688, -7.00819946359843e-05)",-0.007071,-0.012129,"(0.000310, -0.000246, -0.012600)",LeftFalse_RightFalse
0.287598,0.05511,"(-36.88215637207031, 1.1727584600448608, -1.0247066020965576)","(6.956719398498535, 89.99040222167969, 1.476056694984436)","(-36.38557052612305, 0.848784327507019, -0.8131849765777588)","(359.9937438964844, 275.2161560058594, -0.0005719687324017286)","(-37.18986511230469, -0.003918876871466637, -1.4000037908554077)","(0.00628426019102335, 89.95794677734375, -3.9666288103035185e-06)",0.0,0.030762,"(-0.000585, 0.001639, 0.000009)",LeftFalse_RightFalse,False,"(-1.1499671936035156, -0.0039068167097866535, 35.608638763427734)","(0.0006731972680427134, 179.36874389648438, -5.304306341713527e-06)",0.004736,-0.012224,"(0.000008, -0.000107, -0.000032)",LeftFalse_RightFalse
0.394897,0.065551,"(-36.88083267211914, 1.170583724975586, -1.022416591644287)","(8.455452919006348, 89.97372436523438, 1.311962604522705)","(-36.38554382324219, 0.8488916158676147, -0.8132035136222839)","(-0.004539994988590479, 275.2174377441406, -0.0004146807477809489)","(-37.18982696533203, -0.00383584201335907, -1.4000046253204346)","(0.004558892920613289, 89.9592056274414, -3.1303641208069166e-06)",0.0,0.030762,"(-0.001331, 0.000226, 0.000026)",LeftFalse_RightFalse,False,"(-1.1499663591384888, -0.003914855886250734, 35.608585357666016)","(0.0012105087516829371, 179.36834716796875, 2.4273444068967365e-05)",0.002823,-0.01232,"(0.000040, -0.000053, -0.002209)",LeftFalse_RightFalse
0.500854,0.073625,"(-36.88391876220703, 1.1693699359893799, -1.0186583995819092)","(10.032827377319336, 90.30426025390625, 1.7497870922088623)","(-36.385406494140625, 0.8489100337028503, -0.8132197260856628)","(-0.002614942379295826, 275.2183532714844, -0.0002747288381215185)","(-37.18967056274414, -0.00384413730353117, -1.4000084400177002)","(0.002629115479066968, 89.96012878417969, 3.392749567865394e-05)",0.0,0.031525,"(0.000114, -0.000236, -0.000008)",LeftFalse_RightFalse,False,"(-1.149962067604065, -0.003918973263353109, 35.608360290527344)","(0.0009057820425368845, 179.36973571777344, 1.4682584151159972e-05)",-0.000103,-0.012414,"(0.000015, -0.000026, -0.001045)",LeftFalse_RightFalse
0.608398,0.080407,"(-36.88970947265625, 1.1653212308883667, -1.015862226486206)","(12.387449264526367, 90.89344024658203, 2.0694756507873535)","(-36.38536834716797, 0.8488934636116028, -0.8132513165473938)","(-0.0019016332225874066, 275.22052001953125, -0.00017363450024276972)","(-37.18964385986328, -0.0038711316883563995, -1.400009274482727)","(0.001909543527290225, 89.9622802734375, -1.3708111055166228e-06)",0.0,0.032471,"(0.000552, -0.000246, -0.000015)",LeftFalse_RightFalse,False,"(-1.1499600410461426, -0.003920710179954767, 35.60824966430664)","(0.001099650515243411, 179.37010192871094, 1.2289508958929218e-05)",0.001717,-0.012511,"(0.000001, -0.000006, -0.000004)",LeftFalse_RightFalse
0.714966,0.085649,"(-36.8941535949707, 1.1640563011169434, -1.0142401456832886)","(13.609284400939941, 90.76478576660156, 2.393217086791992)","(-36.385379791259766, 0.8488770723342896, -0.8132570385932922)","(-0.0014907460426911712, 275.2209167480469, -0.00011376132897567004)","(-37.18965148925781, -0.0038936156779527664, -1.4000087976455688)","(0.0014948981115594506, 89.96269989013672, -2.333630618522875e-05)",0.0,0.033051,"(0.000145, -0.000176, 0.000001)",LeftFalse_RightFalse,False,"(-1.1499606370925903, -0.003920997027307749, 35.60826873779297)","(0.0012086366768926382, 179.36984252929688, 1.6979754946078174e-05)",0.000537,-0.012607,"(-0.000007, -0.000002, 0.000247)",LeftFalse_RightFalse
0.820923,0.089718,"(-36.8953971862793, 1.1662704944610596, -1.014124870300293)","(12.924132347106934, 90.28558349609375, 2.5195605754852295)","(-36.3853759765625, 0.8488699793815613, -0.8132522106170654)","(-0.0009715535561554134, 275.2205810546875, -8.750038978178054e-05)","(-37.18963623046875, -0.003907716833055019, -1.4000093936920166)","(0.0009754839120432734, 89.96233367919922, -1.9055659095101873e-06)",0.0,0.033051,"(-0.000212, -0.000098, 0.000006)",LeftFalse_RightFalse,False,"(-1.1499578952789307, -0.00392132205888629, 35.60814666748047)","(0.0006601409986615181, 179.370849609375, -4.87114402858424e-06)",-0.002962,-0.012701,"(-0.000018, -0.000006, 0.000977)",LeftFalse_RightFalse
0.927368,0.093054,"(-36.8954963684082, 1.1701364517211914, -1.0152561664581299)","(11.307814598083496, 89.72744750976562, 2.3625028133392334)","(-36.385372161865234, 0.848865270614624, -0.8132458329200745)","(-0.0007491370779462159, 275.2200927734375, -7.52534469938837e-05)","(-37.18962478637695, -0.003915565554052591, -1.4000096321105957)","(0.0007528811111114919, 89.96186828613281, 6.282353751885239e-06)",0.0,0.033051,"(-0.000372, -0.000053, 0.000005)",LeftFalse_RightFalse,False,"(-1.1499533653259277, -0.003921940922737122, 35.60796356201172)","(0.0007703976007178426, 179.3703155517578, -2.280556600453565e-06)",0.001055,-0.012798,"(0.000003, 0.000005, -0.000006)",LeftFalse_RightFalse
