ScenarioTime,FrameRate,A VR Pos,A VR Rot,A XR Origin Pos,A XR Origin  Rot,A car Pos,A car Rot,A accel,A steering,A velocity,A indicators,A Horn Button,0 car Pos,0 car Rot,0 accel,0 steering,0 velocity,0 indicators
0.0,0.014957,"(-0.9201431274414062, 1.133488655090332, 34.80226516723633)","(10.269675254821777, 170.58900451660156, 358.3424072265625)","(-0.9378236532211304, 1.1605066061019897, 34.73540496826172)","(0.7066119313240051, 180.85496520996094, 0.2506181299686432)","(-1.3991583585739136, -0.04053789749741554, 35.006404876708984)","(0.7102519273757935, 180.0049285888672, 0.24010790884494781)",0.0,-0.016937,"(0.000009, -0.000016, -0.000012)",LeftFalse_RightFalse,False,"(-35.00837326049805, -0.21588459610939026, -1.39975905418396)","(1.3066179752349854, 90.00395965576172, 0.10558611154556274)",0.0,0.0,"(-0.000010, -0.000037, 0.000005)",LeftFalse_RightFalse
0.05249,0.018833,"(-0.9222229719161987, 1.1343977451324463, 34.802406311035156)","(10.293461799621582, 172.0979766845703, 357.4173889160156)","(-0.9378060698509216, 1.1605110168457031, 34.73523712158203)","(0.7059187889099121, 180.856201171875, 0.2501179575920105)","(-1.3991245031356812, -0.04054097831249237, 35.00623321533203)","(0.7095513343811035, 180.00616455078125, 0.23961806297302246)",0.0,-0.016937,"(0.000964, -0.000105, -0.006003)",LeftFalse_RightFalse,False,"(-35.00829315185547, -0.21588805317878723, -1.3997478485107422)","(1.306273341178894, 90.00361633300781, 0.10542474687099457)",0.013051,-0.102985,"(0.004833, -0.000140, 0.000624)",LeftFalse_RightFalse
0.111816,0.019288,"(-0.92359459400177, 1.1353707313537598, 34.80210494995117)","(10.110769271850586, 173.237060546875, 357.4681701660156)","(-0.9377471804618835, 1.160510540008545, 34.73447036743164)","(0.7037933468818665, 180.8564453125, 0.2496941089630127)","(-1.399056315422058, -0.04055451601743698, 35.00542068481445)","(0.7074200510978699, 180.0063934326172, 0.23922580480575562)",0.0,-0.016937,"(0.001152, -0.000291, -0.016126)",LeftFalse_RightFalse,False,"(-35.007469177246094, -0.21590931713581085, -1.399698257446289)","(1.3040724992752075, 90.00164031982422, 0.1051156222820282)",-0.035492,-0.10368,"(0.019635, -0.000494, 0.001037)",LeftFalse_RightFalse
0.155029,0.020133,"(-0.924663782119751, 1.136636734008789, 34.80196762084961)","(9.922794342041016, 173.95213317871094, 357.72283935546875)","(-0.9376955032348633, 1.1605027914047241, 34.73356628417969)","(0.7020577192306519, 180.85626220703125, 0.2495790421962738)","(-1.399003505706787, -0.040571197867393494, 35.004478454589844)","(0.7056826949119568, 180.00624084472656, 0.23913653194904327)",0.0,-0.016937,"(0.001210, -0.000420, -0.022491)",LeftFalse_RightFalse,False,"(-35.0062141418457, -0.21594040095806122, -1.3996385335922241)","(1.301679015159607, 89.9994125366211, 0.1048857793211937)",-0.048303,-0.104204,"(0.030955, -0.000759, 0.001424)",LeftFalse_RightFalse
0.197021,0.020451,"(-0.9254857301712036, 1.1379063129425049, 34.80142593383789)","(9.925606727600098, 174.4407501220703, 358.095458984375)","(-0.9376367330551147, 1.1604894399642944, 34.732383728027344)","(0.7002398371696472, 180.8551025390625, 0.24954195320606232)","(-1.3989499807357788, -0.04059334099292755, 35.00325012207031)","(0.7038645148277283, 180.0050811767578, 0.23912639915943146)",0.0,-0.016937,"(0.001293, -0.000612, -0.032775)",LeftFalse_RightFalse,False,"(-35.004390716552734, -0.2159837782382965, -1.3995565176010132)","(1.2989826202392578, 89.99755859375, 0.10458896309137344)",-0.061618,-0.104712,"(0.049290, -0.001156, 0.002168)",LeftFalse_RightFalse
0.237793,0.020359,"(-0.9259481430053711, 1.1388685703277588, 34.800907135009766)","(10.196362495422363, 174.80545043945312, 358.6665344238281)","(-0.9375753998756409, 1.1604712009429932, 34.73097229003906)","(0.6984623670578003, 180.85348510742188, 0.2495228797197342)","(-1.39889657497406, -0.04061990976333618, 35.00178909301758)","(0.7020869851112366, 180.00343322753906, 0.23913370072841644)",0.0,-0.016937,"(0.001380, -0.000759, -0.042221)",LeftFalse_RightFalse,False,"(-35.00226974487305, -0.2160332053899765, -1.3994603157043457)","(1.2969329357147217, 89.99415588378906, 0.10433796048164368)",-0.044625,-0.105246,"(0.000843, 0.000004, 0.001948)",LeftFalse_RightFalse
0.299316,0.020539,"(-0.9263148307800293, 1.1396820545196533, 34.798973083496094)","(10.85018253326416, 175.12911987304688, 359.03143310546875)","(-0.937487781047821, 1.160433053970337, 34.728267669677734)","(0.6957722306251526, 180.85313415527344, 0.24949409067630768)","(-1.398810863494873, -0.04067078232765198, 34.9990234375)","(0.6993967294692993, 180.0030975341797, 0.23914486169815063)",0.0,-0.016937,"(0.001448, -0.000943, -0.052068)",LeftFalse_RightFalse,False,"(-35.00177764892578, -0.2160377949476242, -1.3993638753890991)","(1.3029239177703857, 89.99435424804688, 0.1046765074133873)",-0.047566,-0.105707,"(0.030549, -0.000561, 0.001823)",LeftFalse_RightFalse
0.341064,0.020614,"(-0.9267312288284302, 1.1406654119491577, 34.797454833984375)","(11.57310676574707, 175.49545288085938, 358.9989013671875)","(-0.9374297261238098, 1.160400629043579, 34.7260627746582)","(0.6939005255699158, 180.85369873046875, 0.24948346614837646)","(-1.3987503051757812, -0.040711745619773865, 34.99678421020508)","(0.697525143623352, 180.003662109375, 0.23916204273700714)",0.0,-0.016937,"(0.001465, -0.001058, -0.056443)",LeftFalse_RightFalse,False,"(-35.00058364868164, -0.21606075763702393, -1.3992946147918701)","(1.3026646375656128, 89.99356842041016, 0.10475314408540726)",0.027077,-0.106172,"(0.000510, 0.000081, 0.001306)",LeftFalse_RightFalse
0.399658,0.020131,"(-0.9273570775985718, 1.1417192220687866, 34.79450607299805)","(12.094895362854004, 175.93052673339844, 359.31365966796875)","(-0.9373334646224976, 1.1603443622589111, 34.722557067871094)","(0.691652238368988, 180.85214233398438, 0.2495269626379013)","(-1.3986631631851196, -0.04077800735831261, 34.993221282958984)","(0.6952776908874512, 180.00209045410156, 0.23923887312412262)",0.0,-0.016937,"(0.001539, -0.001232, -0.067063)",LeftFalse_RightFalse,False,"(-34.99993133544922, -0.21606846153736115, -1.3992195129394531)","(1.304965615272522, 89.99304962158203, 0.10494064539670944)",-0.005656,-0.10679,"(0.030099, -0.000587, 0.001693)",LeftFalse_RightFalse
0.440918,0.020292,"(-0.9279699325561523, 1.142586350440979, 34.79150390625)","(12.222447395324707, 176.1488800048828, 359.5635070800781)","(-0.9372676014900208, 1.160300850868225, 34.71971893310547)","(0.6897408962249756, 180.85177612304688, 0.24949729442596436)","(-1.3985990285873413, -0.04083055630326271, 34.99033737182617)","(0.6933660507202148, 180.00172424316406, 0.23923754692077637)",0.0,-0.016937,"(0.001589, -0.001356, -0.073530)",LeftFalse_RightFalse,False,"(-34.998592376708984, -0.21609635651111603, -1.3991516828536987)","(1.3032422065734863, 89.99208068847656, 0.10486418008804321)",0.051189,-0.107269,"(0.038087, -0.000831, 0.001867)",LeftFalse_RightFalse
