ScenarioTime,FrameRate,A VR Pos,A VR Rot,A XR Origin Pos,A XR Origin  Rot,A car Pos,A car Rot,A accel,A steering,A velocity,A indicators,A Horn Button,0 car Pos,0 car Rot,0 accel,0 steering,0 velocity,0 indicators
0.0,0.013709,"(-0.8211687207221985, 0.8984418511390686, 34.239891052246094)","(358.567138671875, 352.3692626953125, 179.2233123779297)","(-0.8044037222862244, 0.8433112502098083, 34.16632843017578)","(-0.0006910932715982199, 351.31854248046875, 0.00010530064901104197)","(-1.399999976158142, -0.003921627998352051, 34.999996185302734)","(0.0006990694673731923, 180.0, 2.199842867867119e-07)",0.0,-0.085876,"(0.000000, 0.000000, 0.000000)",LeftFalse_RightFalse,False,"(-33.909969329833984, -0.003921687602996826, -1.0898535251617432)","(0.0006995515432208776, 90.00144958496094, 2.442405389047053e-07)",0.0,0.0,"(0.000000, 0.000000, 0.000000)",LeftFalse_RightFalse
0.068481,0.024674,"(-0.8211469650268555, 0.8984421491622925, 34.23989486694336)","(358.5671691894531, 352.36773681640625, 179.22198486328125)","(-0.804379940032959, 0.8433115482330322, 34.16633224487305)","(-0.0006713505135849118, 351.3170166015625, 0.00010780440061353147)","(-1.3999985456466675, -0.003921687602996826, 34.99998474121094)","(0.0006799308466725051, 179.9984588623047, -5.23507969774073e-06)",0.0,-0.085876,"(0.000065, 0.000000, -0.000929)",LeftFalse_RightFalse,False,"(-33.909969329833984, -0.003921717405319214, -1.0898535251617432)","(0.0006997513119131327, 90.00144958496094, 1.221723806565933e-07)",0.002929,0.02523,"(0.000000, 0.000000, 0.000000)",LeftFalse_RightFalse
0.164185,0.03886,"(-0.8211326003074646, 0.898443877696991, 34.23986053466797)","(358.5672607421875, 352.36688232421875, 179.23146057128906)","(-0.8043645024299622, 0.843313455581665, 34.166297912597656)","(-0.0005575958057306707, 351.316162109375, 0.00012060407607350498)","(-1.399994969367981, -0.003921692259609699, 34.99993896484375)","(0.0005694113206118345, 179.99761962890625, -3.505833228700794e-05)",0.0,-0.085876,"(0.000067, -0.000001, -0.000832)",LeftFalse_RightFalse,False,"(-33.909912109375, -0.003921832423657179, -1.0898545980453491)","(0.0005969949415884912, 90.00023651123047, 3.1157730973063735e-06)",0.002081,0.009025,"(-0.001637, 0.000000, 0.000040)",LeftFalse_RightFalse
0.260132,0.050298,"(-0.8210973739624023, 0.898442804813385, 34.239837646484375)","(358.56719970703125, 352.3645935058594, 179.22067260742188)","(-0.8043263554573059, 0.8433123230934143, 34.16627883911133)","(-0.0006132807466201484, 351.3138732910156, 0.00010865563672268763)","(-1.399990439414978, -0.003921863157302141, 34.99989700317383)","(0.0006226547411642969, 179.9953155517578, -1.484166114096297e-05)",0.0,-0.085876,"(-0.000112, -0.000003, 0.001876)",LeftFalse_RightFalse,False,"(-33.90985870361328, -0.0039217472076416016, -1.0898540019989014)","(0.0005512349307537079, 90.00125122070312, -1.6044209587562364e-06)",0.002992,0.009091,"(0.000741, -0.000001, -0.000004)",LeftFalse_RightFalse
0.35437,0.059076,"(-0.8211115002632141, 0.8984385132789612, 34.23987579345703)","(358.5669250488281, 352.3655090332031, 179.220947265625)","(-0.804341733455658, 0.8433076739311218, 34.166316986083984)","(-0.0009048769134096801, 351.3147888183594, 8.389211143366992e-05)","(-1.3999934196472168, -0.003921658731997013, 34.99994659423828)","(0.00090717215789482, 179.99624633789062, 5.365190372685902e-05)",0.0,-0.085876,"(0.000023, 0.000004, -0.000326)",LeftFalse_RightFalse,False,"(-33.90972137451172, -0.00392189621925354, -1.0898544788360596)","(0.00040912022814154625, 90.00120544433594, 2.2584172256756574e-06)",-0.001793,0.00915,"(0.003446, -0.000002, -0.000018)",LeftFalse_RightFalse
0.447266,0.065843,"(-0.8210909962654114, 0.8984394669532776, 34.239925384521484)","(358.56695556640625, 352.36376953125, 179.23052978515625)","(-0.8043189644813538, 0.8433086276054382, 34.16636276245117)","(-0.0008622005698271096, 351.31304931640625, 9.515995043329895e-05)","(-1.3999956846237183, -0.003921440336853266, 34.999977111816406)","(0.0008666855865158141, 179.99452209472656, 3.607157486840151e-05)",0.0,-0.085876,"(-0.000001, 0.000001, 0.000237)",LeftFalse_RightFalse,False,"(-33.909751892089844, -0.00392164895310998, -1.089854121208191)","(0.0007165150600485504, 90.00159454345703, -1.975237182705314e-07)",0.000735,0.009216,"(0.000004, 0.000002, -0.000001)",LeftFalse_RightFalse
0.543457,0.071917,"(-0.8210844993591309, 0.8984402418136597, 34.23995590209961)","(358.5670166015625, 352.36322021484375, 179.23231506347656)","(-0.8043117523193359, 0.8433095216751099, 34.16639709472656)","(-0.0008059570100158453, 351.3125, 9.937037975760177e-05)","(-1.399996280670166, -0.003921512048691511, 35.000003814697266)","(0.0008117220131680369, 179.99395751953125, 2.3419948774972e-05)",0.0,-0.085876,"(-0.000071, -0.000001, 0.001003)",LeftFalse_RightFalse,False,"(-33.909732818603516, -0.0039215087890625, -1.08985435962677)","(0.0007160853710956872, 90.00171661376953, 2.866165232262574e-06)",-0.001026,0.009279,"(0.001579, 0.000000, -0.000013)",LeftFalse_RightFalse
0.636353,0.076097,"(-0.8210746049880981, 0.8984410762786865, 34.23997497558594)","(358.56707763671875, 352.3528747558594, 179.23146057128906)","(-0.804300844669342, 0.8433103561401367, 34.16641616821289)","(-0.0007463751244358718, 351.31170654296875, 9.712092287372798e-05)","(-1.3999969959259033, -0.003921568393707275, 35.0000114440918)","(0.0007524832035414875, 179.99314880371094, 1.6650283214403316e-05)",0.0,-0.085876,"(0.000040, -0.000001, -0.000832)",LeftFalse_RightFalse,False,"(-33.90981674194336, -0.00392131507396698, -1.0898535251617432)","(0.0007930704741738737, 90.001953125, -5.40903890566824e-08)",0.002607,0.009344,"(-0.000002, -0.000003, 0.000000)",LeftFalse_RightFalse
0.728149,0.079247,"(-0.821083128452301, 0.898439884185791, 34.24000930786133)","(358.5670166015625, 352.36334228515625, 179.2305908203125)","(-0.8043099641799927, 0.8433091044425964, 34.16645050048828)","(-0.0008217686554417014, 351.3121643066406, 9.130315447691828e-05)","(-1.3999994993209839, -0.003921587951481342, 35.00005340576172)","(0.0008261347538791597, 179.99362182617188, 3.378135443199426e-05)",0.0,-0.085876,"(0.000070, 0.000001, -0.001016)",LeftFalse_RightFalse,False,"(-33.90980529785156, -0.0039215488359332085, -1.0898536443710327)","(0.0007355319103226066, 90.00221252441406, 8.219081450988597e-07)",0.003059,0.009404,"(0.000522, -0.000001, -0.000002)",LeftFalse_RightFalse
0.820923,0.081953,"(-0.8210583329200745, 0.8984427452087402, 34.2400016784668)","(358.56719970703125, 352.36248779296875, 179.22434997558594)","(-0.8042829632759094, 0.8433122038841248, 34.16644287109375)","(-0.0006359554245136678, 351.31048583984375, 0.00011731631093425676)","(-1.399996042251587, -0.003921657335013151, 35.00002670288086)","(0.0006463769823312759, 179.991943359375, -1.998055995500181e-05)",0.0,-0.085876,"(-0.000074, -0.000002, 0.001506)",LeftFalse_RightFalse,False,"(-33.90966033935547, -0.003921894822269678, -1.0898544788360596)","(0.00038447670522145927, 90.00163269042969, 6.0425295487220865e-06)",0.001093,0.009461,"(0.001259, -0.000004, -0.000008)",LeftFalse_RightFalse
0.91394,0.084166,"(-0.8210660219192505, 0.8984386324882507, 34.24007034301758)","(358.5669250488281, 352.3628234863281, 179.224365234375)","(-0.8042910695075989, 0.8433077335357666, 34.16651153564453)","(-0.0009002595325000584, 351.3107604980469, 8.164722385117784e-05)","(-1.4000014066696167, -0.0039216200821101665, 35.000099182128906)","(0.0009022689773701131, 179.99221801757812, 5.517412500921637e-05)",0.0,-0.085876,"(0.000024, 0.000003, -0.000406)",LeftFalse_RightFalse,False,"(-33.90949630737305, -0.003922053147107363, -1.089855432510376)","(0.00026533310301601887, 89.99935150146484, 7.955508408485912e-06)",-0.004016,0.009518,"(0.001471, -0.000003, -0.000010)",LeftFalse_RightFalse
1.005493,0.085639,"(-0.8210654854774475, 0.8984448313713074, 34.24002456665039)","(358.56732177734375, 352.3638916015625, 179.22254943847656)","(-0.8042906522750854, 0.8433144688606262, 34.166465759277344)","(-0.0005064009455963969, 351.3108825683594, 0.00012965628411620855)","(-1.3999974727630615, -0.003921580966562033, 35.00004959106445)","(0.0005201695021241903, 179.99234008789062, -5.1734201406361535e-05)",0.0,-0.085876,"(0.000073, -0.000004, -0.000920)",LeftFalse_RightFalse,False,"(-33.90947341918945, -0.003921937197446823, -1.0898561477661133)","(0.0007035404560156167, 90.00079345703125, 6.065367301744118e-07)",0.002875,0.009585,"(0.000007, 0.000005, -0.000002)",LeftFalse_RightFalse
1.099609,0.087336,"(-0.8210412263870239, 0.8984434604644775, 34.24001693725586)","(358.5672607421875, 352.36236572265625, 179.23233032226562)","(-0.8042643070220947, 0.8433129787445068, 34.16645812988281)","(-0.0005756112514063716, 351.30926513671875, 0.00011077101225964725)","(-1.3999950885772705, -0.003921806812286377, 35.00002670288086)","(0.0005857362411916256, 179.99073791503906, -2.2618645743932575e-05)",0.0,-0.085876,"(0.000048, 0.000000, -0.000626)",LeftFalse_RightFalse,False,"(-33.90941619873047, -0.0039216005243361, -1.089856743812561)","(0.0006224242388270795, 89.9997787475586, 1.7443890101276338e-06)",-0.002734,0.009644,"(0.001996, 0.000001, -0.000013)",LeftFalse_RightFalse
1.193481,0.088634,"(-0.8210461735725403, 0.8984457850456238, 34.23993682861328)","(358.5674133300781, 352.3646240234375, 179.23294067382812)","(-0.8042702078819275, 0.843315601348877, 34.166378021240234)","(-0.0004236914392095059, 351.31005859375, 0.00013218025560490787)","(-1.3999888896942139, -0.003921795170754194, 34.99995422363281)","(0.00043878849828615785, 179.9915313720703, -6.671351002296433e-05)",0.0,-0.085876,"(0.000079, -0.000001, -0.000842)",LeftFalse_RightFalse,False,"(-33.90950393676758, -0.003921348135918379, -1.0898555517196655)","(0.0008383359527215362, 89.99937438964844, -4.342056854511611e-06)",0.002647,0.009711,"(0.000000, -0.000001, 0.000000)",LeftFalse_RightFalse
1.286743,0.089575,"(-0.8210278153419495, 0.8984429836273193, 34.239925384521484)","(358.5672302246094, 352.3636169433594, 179.222900390625)","(-0.8042504787445068, 0.8433125019073486, 34.16636657714844)","(-0.0006060329615138471, 351.3089599609375, 0.0001105060800909996)","(-1.399985909461975, -0.003921798430383205, 34.99993133544922)","(0.0006157694151625037, 179.99041748046875, -1.7764892618288286e-05)",0.0,-0.085876,"(0.000025, 0.000002, -0.000055)",LeftFalse_RightFalse,False,"(-33.90946960449219, -0.003921533469110727, -1.0898559093475342)","(0.0007383893826045096, 90.00210571289062, 8.33346348372288e-07)",4e-05,0.009775,"(-0.000580, -0.000003, 0.000005)",LeftFalse_RightFalse
1.381104,0.090518,"(-0.821035623550415, 0.8984386324882507, 34.23994827270508)","(358.5669250488281, 352.3642272949219, 179.2322998046875)","(-0.804259181022644, 0.8433076739311218, 34.16638946533203)","(-0.0008977603283710778, 351.3095703125, 8.191717643057927e-05)","(-1.399986982345581, -0.0039216880686581135, 34.99996566772461)","(0.0008998391567729414, 179.9910125732422, 5.4530039051314816e-05)",0.0,-0.085876,"(-0.000077, 0.000002, 0.001126)",LeftFalse_RightFalse,False,"(-33.90949249267578, -0.003921597730368376, -1.089855670928955)","(0.0009148214012384415, 90.00325775146484, -6.887926701892866e-06)",0.001401,0.009839,"(-0.000582, -0.000001, 0.000009)",LeftFalse_RightFalse
