ScenarioTime,FrameRate,A VR Pos,A VR Rot,A XR Origin Pos,A XR Origin  Rot,A car Pos,A car Rot,A accel,A steering,A velocity,A indicators,A Horn Button,0 car Pos,0 car Rot,0 accel,0 steering,0 velocity,0 indicators
0.0,0.014972,"(36.894107818603516, 1.2314643859863281, 0.8240950107574463)","(358.38812255859375, 273.09716796875, 359.0260314941406)","(36.49509811401367, 1.1875863075256348, -0.9066041707992554)","(0.45454633235931396, 316.56072998046875, 1.3589071035385132)","(36.98582077026367, 0.003979027271270752, 1.2289396524429321)","(1.2998864650726318, 269.93927001953125, 0.6029595732688904)",-0.226181,-0.002869,"(-0.000009, 0.000000, -0.000029)",LeftFalse_RightFalse,False,"(-35.15889358520508, -0.21216358244419098, -1.4800000190734863)","(1.340625286102295, 88.80439758300781, 0.07470526546239853)",0.0,0.0,"(-0.000010, -0.000002, 0.000003)",LeftFalse_RightFalse
0.053833,0.019117,"(36.893062591552734, 1.2316203117370605, 0.8252313733100891)","(358.5691833496094, 273.0126953125, 358.9402770996094)","(36.49509811401367, 1.1875863075256348, -0.9066054821014404)","(0.4545462131500244, 316.56072998046875, 1.3589072227478027)","(36.98582077026367, 0.003979017026722431, 1.228938341140747)","(1.2998864650726318, 269.93927001953125, 0.6029596328735352)",-0.234115,-0.002869,"(-0.000009, -0.000001, -0.000029)",LeftFalse_RightFalse,False,"(-35.15886688232422, -0.21216441690921783, -1.4799957275390625)","(1.3405123949050903, 88.80435943603516, 0.07464640587568283)",2.9e-05,0.155315,"(0.003529, -0.000110, 0.000560)",LeftFalse_RightFalse
0.096375,0.019905,"(36.891624450683594, 1.2311773300170898, 0.8260913491249084)","(358.8022155761719, 272.94805908203125, 358.8453674316406)","(36.495094299316406, 1.1875863075256348, -0.9066065549850464)","(0.4545464813709259, 316.56072998046875, 1.3589071035385132)","(36.985816955566406, 0.003978997468948364, 1.2289372682571411)","(1.2998865842819214, 269.93927001953125, 0.6029594540596008)",-0.238083,-0.002869,"(-0.000009, 0.000000, -0.000029)",LeftFalse_RightFalse,False,"(-35.158504486083984, -0.21217474341392517, -1.479978084564209)","(1.3393276929855347, 88.80435180664062, 0.07460308074951172)",-0.039939,0.155685,"(0.012360, -0.000373, 0.000338)",LeftFalse_RightFalse
0.137939,0.020198,"(36.89011001586914, 1.2306376695632935, 0.8269097805023193)","(359.06396484375, 272.8563537597656, 358.7633972167969)","(36.49509811401367, 1.1875863075256348, -0.9066073894500732)","(0.45454636216163635, 316.56072998046875, 1.35890793800354)","(36.98582077026367, 0.003978997468948364, 1.2289364337921143)","(1.2998872995376587, 269.93927001953125, 0.6029601693153381)",-0.24205,-0.002869,"(-0.000009, 0.000000, -0.000029)",LeftFalse_RightFalse,False,"(-35.15837478637695, -0.2121788114309311, -1.4799730777740479)","(1.339793086051941, 88.80404663085938, 0.07464718073606491)",0.067253,0.155991,"(0.000045, 0.000001, 0.000265)",LeftFalse_RightFalse
0.199341,0.020407,"(36.88772964477539, 1.2298738956451416, 0.8279480934143066)","(359.4009094238281, 272.701904296875, 358.63238525390625)","(36.49509811401367, 1.1875863075256348, -0.906609058380127)","(0.454547643661499, 316.56072998046875, 1.3589072227478027)","(36.98582077026367, 0.003978997468948364, 1.2289347648620605)","(1.2998874187469482, 269.93927001953125, 0.602958619594574)",-0.24205,-0.002869,"(-0.000009, 0.000000, -0.000029)",LeftFalse_RightFalse,False,"(-35.157745361328125, -0.2121935337781906, -1.4799829721450806)","(1.3388638496398926, 88.8052978515625, 0.07492416352033615)",-0.114786,0.156505,"(0.000289, 0.000047, -0.000436)",LeftFalse_RightFalse
0.241272,0.020628,"(36.886131286621094, 1.2290802001953125, 0.8286982774734497)","(359.6272277832031, 272.5904235839844, 358.4678955078125)","(36.49509811401367, 1.1875863075256348, -0.9066100120544434)","(0.454548180103302, 316.56072998046875, 1.3589074611663818)","(36.98582077026367, 0.003978997468948364, 1.2289338111877441)","(1.299888014793396, 269.93927001953125, 0.6029585003852844)",-0.24205,-0.00293,"(-0.000009, -0.000001, -0.000029)",LeftFalse_RightFalse,False,"(-35.157569885253906, -0.21219471096992493, -1.4799883365631104)","(1.3392513990402222, 88.80594635009766, 0.0748995766043663)",0.001768,0.156849,"(0.011950, -0.000213, -0.000245)",LeftFalse_RightFalse
0.282166,0.020547,"(36.88460922241211, 1.2281875610351562, 0.8291945457458496)","(359.9815368652344, 272.455322265625, 358.3203125)","(36.49509811401367, 1.1875863075256348, -0.9066109657287598)","(0.454548716545105, 316.56072998046875, 1.358907699584961)","(36.98582077026367, 0.003978974651545286, 1.2289328575134277)","(1.2998884916305542, 269.93927001953125, 0.6029582023620605)",-0.24205,-0.00293,"(-0.000009, -0.000001, -0.000029)",LeftFalse_RightFalse,False,"(-35.15674591064453, -0.21221403777599335, -1.4799985885620117)","(1.3373514413833618, 88.80786895751953, 0.0751180425286293)",-0.033185,0.157242,"(0.029176, -0.000720, -0.000532)",LeftFalse_RightFalse
0.323425,0.020603,"(36.883636474609375, 1.2276190519332886, 0.8295102119445801)","(0.19895602762699127, 272.3502197265625, 358.22869873046875)","(36.49509811401367, 1.1875863075256348, -0.9066118001937866)","(0.45454707741737366, 316.56072998046875, 1.35890793800354)","(36.98582077026367, 0.003978937864303589, 1.2289320230484009)","(1.2998875379562378, 269.93927001953125, 0.6029595732688904)",-0.246017,-0.003021,"(-0.000009, -0.000001, -0.000029)",LeftFalse_RightFalse,False,"(-35.156620025634766, -0.2122146189212799, -1.480014681816101)","(1.339240550994873, 88.80856323242188, 0.07485341280698776)",0.147256,0.157507,"(0.000084, 0.000070, 0.000066)",LeftFalse_RightFalse
0.380554,0.019854,"(36.88286209106445, 1.2271639108657837, 0.8297622203826904)","(0.5528414249420166, 272.37603759765625, 358.0984802246094)","(36.49509811401367, 1.1875863075256348, -0.9066132307052612)","(0.45454683899879456, 316.56072998046875, 1.3589075803756714)","(36.98582077026367, 0.003978937864303589, 1.2289305925369263)","(1.2998871803283691, 269.93927001953125, 0.6029594540596008)",-0.249985,-0.003021,"(-0.000009, -0.000001, -0.000029)",LeftFalse_RightFalse,False,"(-35.155609130859375, -0.2122369110584259, -1.4800310134887695)","(1.337324857711792, 88.8108139038086, 0.07502243667840958)",-0.026603,0.158051,"(0.032450, -0.000778, -0.000706)",LeftFalse_RightFalse
0.421143,0.02001,"(36.88258361816406, 1.2262803316116333, 0.8302258253097534)","(0.9408715963363647, 272.71728515625, 358.1303405761719)","(36.49509811401367, 1.1875863075256348, -0.9066141843795776)","(0.4545466899871826, 316.56072998046875, 1.3589074611663818)","(36.98582077026367, 0.003978916443884373, 1.2289296388626099)","(1.2998871803283691, 269.93927001953125, 0.6029595136642456)",-0.249985,-0.003021,"(-0.000009, -0.000001, -0.000029)",LeftFalse_RightFalse,False,"(-35.15541076660156, -0.21223847568035126, -1.4800527095794678)","(1.3392552137374878, 88.81148529052734, 0.0748109221458435)",0.174277,0.158315,"(0.000093, 0.000077, 0.000036)",LeftFalse_RightFalse
