ScenarioTime,FrameRate,A VR Pos,A VR Rot,A XR Origin Pos,A XR Origin  Rot,A car Pos,A car Rot,A accel,A steering,A velocity,A indicators,A Horn Button,0 car Pos,0 car Rot,0 accel,0 steering,0 velocity,0 indicators
0.0,0.014117,"(-1.3267171382904053, 1.2194856405258179, 34.686126708984375)","(0.048304252326488495, 176.9066619873047, 356.3139343261719)","(-1.078887701034546, 0.8372774124145508, 34.23274612426758)","(0.001768674235790968, 0.990740180015564, 3.086157448706217e-05)","(-1.7000000476837158, -0.004285644739866257, 34.99998092651367)","(-0.0017689433880150318, 180.0, -2.752206000877777e-07)",0.0,-0.002991,"(0.000000, 0.003054, -0.000081)",LeftFalse_RightFalse,False,"(-35.00001525878906, -0.003875023452565074, -1.25)","(0.001761270803399384, 90.0001449584961, -9.870715302895405e-07)",0.0,0.0,"(-0.000018, -0.000250, 0.000000)",LeftFalse_RightFalse
0.054565,0.022205,"(-1.326979160308838, 1.2196218967437744, 34.68585968017578)","(0.07967942953109741, 177.41685485839844, 356.4614562988281)","(-1.0788967609405518, 0.8374015688896179, 34.232688903808594)","(0.0004629463655874133, 0.9914245009422302, 9.596801646694075e-06)","(-1.6999999284744263, -0.004144012928009033, 34.99995040893555)","(-0.00046304307761602104, 180.0006866455078, -1.5906675798760261e-06)",0.0,-0.002991,"(-0.000003, 0.001960, 0.000997)",LeftFalse_RightFalse,False,"(-35.00000762939453, -0.003887602360919118, -1.25)","(0.0014206637861207128, 90.0001449584961, -7.667496220165049e-07)",0.005426,-0.060751,"(-0.000013, -0.000198, 0.000000)",LeftFalse_RightFalse
0.124512,0.031741,"(-1.327129602432251, 1.2197273969650269, 34.6858024597168)","(0.05613419786095619, 177.7550811767578, 356.6681823730469)","(-1.0788962841033936, 0.8374953269958496, 34.23276138305664)","(-0.000926954613532871, 0.9913724064826965, -1.9314953533466905e-05)","(-1.700000286102295, -0.004031606949865818, 35.00004196166992)","(0.0009271500166505575, 180.00064086914062, 3.284304966655327e-06)",0.0,-0.002991,"(0.000000, 0.001214, -0.000115)",LeftFalse_RightFalse,False,"(-34.99998092651367, -0.003899938892573118, -1.2499985694885254)","(0.0010115596232935786, 89.99968719482422, -1.7536909581394866e-05)",-0.000762,-0.05476,"(0.001252, -0.000150, 0.000048)",LeftFalse_RightFalse
0.194702,0.039425,"(-1.32869291305542, 1.2197892665863037, 34.685813903808594)","(359.9936828613281, 177.9514923095703, 356.70660400390625)","(-1.0789026021957397, 0.8375536203384399, 34.23278045654297)","(-0.001311187632381916, 0.9918497800827026, -2.3480884919990785e-05)","(-1.7000001668930054, -0.003968159202486277, 35.00007247924805)","(0.00131139752920717, 180.00111389160156, 8.059312222030712e-07)",0.0,-0.002991,"(0.000000, 0.000591, -0.001019)",LeftFalse_RightFalse,False,"(-34.999900817871094, -0.003908723592758179, -1.2499959468841553)","(0.0008272001869045198, 90.0006332397461, -1.5060736586747225e-05)",0.002474,-0.055,"(-0.000001, -0.000093, 0.000009)",LeftFalse_RightFalse
0.263672,0.045338,"(-1.3291525840759277, 1.2198208570480347, 34.68582534790039)","(359.8721618652344, 178.025146484375, 356.97125244140625)","(-1.0789062976837158, 0.8375844955444336, 34.23279571533203)","(-0.0013972977176308632, 0.9921116828918457, -2.5925082809408195e-05)","(-1.7000004053115845, -0.003936185035854578, 35.000091552734375)","(0.0013975371839478612, 180.00137329101562, 1.7608494999876712e-06)",0.0,-0.002991,"(-0.000001, 0.000321, 0.000301)",LeftFalse_RightFalse,False,"(-34.99993133544922, -0.003914134576916695, -1.2499967813491821)","(0.0009224648238159716, 89.99950408935547, 1.854018773883581e-05)",-0.00396,-0.055231,"(0.000065, -0.000061, -0.000002)",LeftFalse_RightFalse
0.333008,0.050157,"(-1.3292999267578125, 1.219836950302124, 34.685096740722656)","(359.6893310546875, 177.9842987060547, 356.9932556152344)","(-1.078885555267334, 0.837601900100708, 34.232818603515625)","(-0.0012390119954943657, 0.9905741214752197, -2.0523559214780107e-05)","(-1.700000286102295, -0.003920897375792265, 35.00009536743164)","(0.0012391816126182675, 179.99984741210938, -9.029819807437889e-07)",0.0,-0.002991,"(0.000003, 0.000157, -0.000760)",LeftFalse_RightFalse,False,"(-34.999908447265625, -0.003917563706636429, -1.2499947547912598)","(0.0008063671994023025, 89.998291015625, -2.8726794880640227e-06)",0.003658,-0.055459,"(-0.000003, -0.000038, 0.000014)",LeftFalse_RightFalse
0.401489,0.053798,"(-1.3293418884277344, 1.2198442220687866, 34.68484115600586)","(359.5633544921875, 177.8865203857422, 357.0003356933594)","(-1.0788739919662476, 0.8376116752624512, 34.232791900634766)","(-0.000934937153942883, 0.9897216558456421, -1.323951619269792e-05)","(-1.7000000476837158, -0.003915253095328808, 35.00005340576172)","(0.0009350262116640806, 179.9989776611328, -2.928245748989866e-06)",0.0,-0.002991,"(0.000002, 0.000040, -0.000761)",LeftFalse_RightFalse,False,"(-34.999900817871094, -0.003919526003301144, -1.2499942779541016)","(0.00075215456308797, 89.99711608886719, 2.9713237381656654e-06)",-0.002021,-0.055684,"(-0.000480, -0.000022, -0.000023)",LeftFalse_RightFalse
0.470581,0.05688,"(-1.3293538093566895, 1.2198448181152344, 34.68479919433594)","(359.5857849121094, 177.9480743408203, 356.8080749511719)","(-1.0788664817810059, 0.8376112580299377, 34.232826232910156)","(-0.0010445420630276203, 0.9891473650932312, -1.8253202142659575e-05)","(-1.7000001668930054, -0.00391409220173955, 35.000083923339844)","(0.0010447015520185232, 179.9984130859375, 1.895368768600747e-07)",0.0,-0.002991,"(-0.000003, 0.000002, 0.000981)",LeftFalse_RightFalse,False,"(-34.99982833862305, -0.003920940216630697, -1.2499903440475464)","(0.000675274757668376, 89.99699401855469, -1.5323032130254433e-05)",0.003298,-0.055915,"(0.000002, -0.000012, 0.000024)",LeftFalse_RightFalse
0.540527,0.059489,"(-1.329361915588379, 1.2198445796966553, 34.68476867675781)","(359.6016540527344, 177.91844177246094, 356.74462890625)","(-1.0788748264312744, 0.8376121520996094, 34.232810974121094)","(-0.0009221565560437739, 0.9897884726524353, -1.613603308214806e-05)","(-1.7000000476837158, -0.003914913162589073, 35.00007629394531)","(0.0009222976514138281, 179.99905395507812, 1.8882394670072244e-07)",0.0,-0.002991,"(0.000001, -0.000019, 0.000002)",LeftFalse_RightFalse,False,"(-34.99982452392578, -0.003921462222933769, -1.2499901056289673)","(0.0007058291230350733, 89.99790954589844, 2.7251294341112953e-06)",-0.002178,-0.056157,"(0.000116, -0.000006, -0.000002)",LeftFalse_RightFalse
0.609741,0.061427,"(-1.329366683959961, 1.2198432683944702, 34.684783935546875)","(359.6759948730469, 177.9188995361328, 356.70184326171875)","(-1.078883171081543, 0.8376110196113586, 34.23283386230469)","(-0.0008993818773888052, 0.9904024004936218, -1.54242788994452e-05)","(-1.7000000476837158, -0.003916342742741108, 35.00010299682617)","(0.0008995140087790787, 179.99966430664062, -1.2903146284770628e-07)",0.0,-0.002991,"(0.000003, -0.000020, -0.000728)",LeftFalse_RightFalse,False,"(-34.99974060058594, -0.0039218720048666, -1.2499852180480957)","(0.0006588156102225184, 89.99685668945312, -1.7576096070115454e-05)",0.002351,-0.056383,"(0.000004, 0.000001, 0.000027)",LeftFalse_RightFalse
