ScenarioTime,FrameRate,A VR Pos,A VR Rot,A XR Origin Pos,A XR Origin  Rot,A car Pos,A car Rot,A accel,A steering,A velocity,A indicators,A Horn Button,0 car Pos,0 car Rot,0 accel,0 steering,0 velocity,0 indicators
0.0,0.013696,"(-34.79339599609375, 1.2659776210784912, -0.9754233360290527)","(19.123592376708984, 93.11207580566406, 1.2638663053512573)","(-36.70778274536133, 1.0344643592834473, 0.9434367418289185)","(-0.002585406182333827, 202.29299926757812, 0.006307164207100868)","(-34.99999237060547, -0.004424090497195721, -1.399999976158142)","(0.006816497538238764, 90.0000228881836, -4.137550604355056e-07)",0.0,-0.108826,"(0.000043, 0.007773, 0.000000)",LeftFalse_RightFalse,False,"(-0.869996964931488, -0.0038628997281193733, 34.9998893737793)","(0.0019577755592763424, 177.9569091796875, 5.106571734359022e-07)",0.0,0.0,"(-0.000001, -0.000340, 0.000024)",LeftFalse_RightFalse
0.057861,0.022529,"(-34.79362869262695, 1.2585980892181396, -0.9752650856971741)","(22.219364166259766, 93.6849594116211, 0.8385107517242432)","(-36.70769500732422, 1.0347803831100464, 0.9434866905212402)","(-0.002599739469587803, 202.2946319580078, 0.006419803947210312)","(-34.99997329711914, -0.00411262409761548, -1.3999981880187988)","(0.006926156114786863, 90.00165557861328, -2.9881035516154952e-05)",0.0,-0.107452,"(0.001728, 0.004263, 0.000142)",LeftFalse_RightFalse,False,"(-0.8699969053268433, -0.003879946656525135, 34.99988555908203)","(0.0015183485811576247, 177.9569091796875, 3.391152745280124e-07)",0.009828,-0.123377,"(-0.000001, -0.000270, 0.000017)",LeftFalse_RightFalse
0.125488,0.031547,"(-34.79292297363281, 1.254997730255127, -0.9763401746749878)","(23.456621170043945, 94.410888671875, 1.106956124305725)","(-36.70771408081055, 1.0349470376968384, 0.9434890747070312)","(-0.0023957525845617056, 202.294677734375, 0.005863633938133717)","(-34.99998092651367, -0.003927525598555803, -1.3999977111816406)","(0.006334175821393728, 90.00170135498047, -7.641649062861688e-06)",0.0,-0.102783,"(-0.000743, 0.001637, -0.000049)",LeftFalse_RightFalse,False,"(-0.8699924945831299, -0.0038949432782828808, 34.99983596801758)","(0.0010667497990652919, 177.95591735839844, -4.746557806356577e-06)",-0.002612,-0.111854,"(-0.000012, -0.000185, -0.000538)",LeftFalse_RightFalse
0.191528,0.038437,"(-34.79298400878906, 1.2549799680709839, -0.9774140119552612)","(23.126832962036133, 94.8486557006836, 1.0860602855682373)","(-36.70772171020508, 1.0349876880645752, 0.9434720277786255)","(-0.001926557393744588, 202.29396057128906, 0.004804474301636219)","(-34.99993896484375, -0.003853568807244301, -1.3999933004379272)","(0.005176194943487644, 90.0009994506836, -3.99829114030581e-05)",0.0,-0.098755,"(0.000538, 0.000620, 0.000053)",LeftFalse_RightFalse,False,"(-0.8699643611907959, -0.003905853256583214, 34.99960708618164)","(0.0007148616132326424, 177.955078125, -0.00010365880007157102)",0.000702,-0.112303,"(0.000099, -0.000122, 0.000004)",LeftFalse_RightFalse
0.255127,0.043475,"(-34.791778564453125, 1.2587131261825562, -0.9790331125259399)","(21.626352310180664, 95.04961395263672, 1.1646593809127808)","(-36.70778274536133, 1.0349786281585693, 0.9434489011764526)","(-0.001637647277675569, 202.29319763183594, 0.0039627631194889545)","(-34.99995422363281, -0.0038340380415320396, -1.3999942541122437)","(0.0042878007516264915, 90.00022888183594, 1.1998271475022193e-05)",0.0,-0.098084,"(0.001124, 0.000091, 0.000098)",LeftFalse_RightFalse,False,"(-0.8699641227722168, -0.003912079147994518, 34.99961853027344)","(0.0008556223474442959, 177.95472717285156, -3.7962693113513524e-06)",0.00036,-0.112741,"(-0.000054, -0.000080, 0.000643)",LeftFalse_RightFalse
0.320618,0.047875,"(-34.789520263671875, 1.2648162841796875, -0.9819058179855347)","(18.94794273376465, 95.05863189697266, 1.3132578134536743)","(-36.70777130126953, 1.0349431037902832, 0.9434496164321899)","(-0.0012145501095801592, 202.29315185546875, 0.0030004277359694242)","(-34.99991989135742, -0.003839224809780717, -1.3999916315078735)","(0.0032368951942771673, 90.00018310546875, -1.4420247680391185e-05)",0.0,-0.098755,"(0.001188, -0.000203, 0.000117)",LeftFalse_RightFalse,False,"(-0.8699560761451721, -0.003916263580322266, 34.999568939208984)","(0.0006328006857074797, 177.9546661376953, -5.725563460146077e-05)",-0.001171,-0.113192,"(-0.000031, -0.000048, 0.000369)",LeftFalse_RightFalse
0.382813,0.050742,"(-34.78644943237305, 1.273720622062683, -0.9854614734649658)","(15.069193840026855, 95.09745788574219, 1.0968822240829468)","(-36.707725524902344, 1.0349041223526, 0.9434609413146973)","(-0.0008171636727638543, 202.2933349609375, 0.0021785020362585783)","(-34.9998664855957, -0.0038534740451723337, -1.3999848365783691)","(0.00232565775513649, 90.00037384033203, -7.031303539406508e-05)",0.0,-0.099274,"(-0.001125, -0.000258, -0.000058)",LeftFalse_RightFalse,False,"(-0.8699585199356079, -0.0039186179637908936, 34.999595642089844)","(0.0007837503217160702, 177.95420837402344, 1.3993377251608763e-05)",0.003818,-0.113619,"(0.000009, -0.000027, 0.000000)",LeftFalse_RightFalse
0.448669,0.053765,"(-34.784114837646484, 1.281158447265625, -0.9891993999481201)","(11.788602828979492, 94.98834991455078, 0.7684853672981262)","(-36.70774459838867, 1.0348711013793945, 0.9434466361999512)","(-0.0006984908250160515, 202.29278564453125, 0.0017327675595879555)","(-34.999855041503906, -0.0038704145699739456, -1.3999836444854736)","(0.0018682214431464672, 89.99980926513672, -1.10296468847082e-05)",0.0,-0.099274,"(-0.001175, -0.000247, -0.000078)",LeftFalse_RightFalse,False,"(-0.8699579238891602, -0.003920174669474363, 34.99959182739258)","(0.0007790203671902418, 177.95494079589844, 2.3833017621655017e-05)",0.001163,-0.11408,"(0.000099, -0.000017, -0.000934)",LeftFalse_RightFalse
0.510986,0.055469,"(-34.77796936035156, 1.2891879081726074, -0.993497371673584)","(8.227888107299805, 94.57652282714844, 0.3320836126804352)","(-36.70777130126953, 1.0348461866378784, 0.943436861038208)","(-0.0006042922614142299, 202.29246520996094, 0.0014282037736847997)","(-34.99986267089844, -0.003884656820446253, -1.3999841213226318)","(0.0015506885247305036, 89.99948120117188, 1.7346394088235684e-05)",0.0,-0.099274,"(0.000006, -0.000207, 0.000015)",LeftFalse_RightFalse,False,"(-0.8699479699134827, -0.003921111114323139, 34.99950408935547)","(0.0005018158117309213, 177.95445251464844, -5.217997750150971e-05)",-0.008057,-0.11451,"(0.000256, -0.000012, -0.002160)",LeftFalse_RightFalse
0.572998,0.056783,"(-34.77213668823242, 1.2948130369186401, -0.9965484142303467)","(5.55191707611084, 94.08549499511719, 0.0821431502699852)","(-36.707828521728516, 1.0348256826400757, 0.9433950185775757)","(-0.00045924517326056957, 202.29100036621094, 0.0011270587565377355)","(-34.99985122680664, -0.0038960324600338936, -1.3999820947647095)","(0.0012170295231044292, 89.9980239868164, -2.6220293420919916e-06)",0.0,-0.098999,"(0.001462, -0.000162, 0.000127)",LeftFalse_RightFalse,False,"(-0.8699603080749512, -0.003921404015272856, 34.99958038330078)","(0.000710330787114799, 177.95460510253906, 4.239976988174021e-05)",0.007358,-0.114945,"(-0.000031, -0.000006, -0.000005)",LeftFalse_RightFalse
