ScenarioTime,FrameRate,A VR Pos,A VR Rot,A XR Origin Pos,A XR Origin  Rot,A car Pos,A car Rot,A accel,A steering,A velocity,A indicators,A Horn Button,0 car Pos,0 car Rot,0 accel,0 steering,0 velocity,0 indicators
0.0,0.014592,"(-37.066043853759766, 1.1966097354888916, -1.0514259338378906)","(359.37945556640625, 90.18468475341797, 0.21645580232143402)","(-36.392608642578125, 0.7738651633262634, -0.7406383752822876)","(0.015705078840255737, 313.0140075683594, 0.014671223238110542)","(-37.18988037109375, -0.01016201637685299, -1.4000005722045898)","(359.978515625, 89.96025848388672, 1.1522610066094785e-06)",0.0,0.002655,"(0.000747, 0.051892, 0.000001)",LeftFalse_RightFalse,False,"(-1.1499990224838257, -0.0037887271028012037, 35.60990905761719)","(0.005074706859886646, 179.37066650390625, 3.5500406170285714e-07)",0.0,0.0,"(-0.000001, -0.000194, 0.000056)",LeftFalse_RightFalse
0.060318,0.023738,"(-37.06580352783203, 1.1990760564804077, -1.0514270067214966)","(359.33905029296875, 90.15876007080078, 0.2650480568408966)","(-36.39246368408203, 0.7761684060096741, -0.7406483292579651)","(0.005574481561779976, 313.0147399902344, 0.005207748617976904)","(-37.18993377685547, -0.007665668614208698, -1.4000006914138794)","(359.99237060546875, 89.96097564697266, 2.39290073977827e-07)",0.0,0.002655,"(0.001613, 0.034225, -0.000001)",LeftFalse_RightFalse,False,"(-1.1499989032745361, -0.003807461354881525, 35.609901428222656)","(0.0038692601956427097, 179.37066650390625, 5.01622650972422e-07)",0.086731,-0.04996,"(0.000000, -0.000373, 0.000046)",LeftFalse_RightFalse
0.131577,0.033242,"(-37.0656852722168, 1.2008870840072632, -1.0514252185821533)","(359.32305908203125, 90.08903503417969, 0.31571969389915466)","(-36.39242172241211, 0.7778688073158264, -0.7406392693519592)","(-0.0013147303834557533, 313.01409912109375, -0.0012263916432857513)","(-37.19001388549805, -0.005834066309034824, -1.4000005722045898)","(0.0017979295225813985, 89.96033477783203, -1.4049954870642978e-06)",0.0,0.002655,"(0.001885, 0.018574, -0.000001)",LeftFalse_RightFalse,False,"(-1.1499758958816528, -0.003836719784885645, 35.609291076660156)","(0.0011400412768125534, 179.37171936035156, -0.00013501991634257138)",-0.020397,-0.045175,"(0.000566, -0.000420, -0.016612)",LeftFalse_RightFalse
0.203568,0.04099,"(-37.06610870361328, 1.2019239664077759, -1.0509260892868042)","(359.27923583984375, 90.01924896240234, 0.3850736916065216)","(-36.392337799072266, 0.7788580656051636, -0.7406427264213562)","(-0.004263914190232754, 313.01434326171875, -0.003985063638538122)","(-37.18998718261719, -0.004788494203239679, -1.4000004529953003)","(0.005836239084601402, 89.9605941772461, 1.0321990657757851e-06)",0.0,0.002655,"(0.000066, 0.011195, 0.000000)",LeftFalse_RightFalse,False,"(-1.1499515771865845, -0.0038645886816084385, 35.60871887207031)","(0.0009441369329579175, 179.3705291748047, -0.00010425174696138129)",0.025436,-0.045355,"(0.000075, -0.000329, -0.000039)",LeftFalse_RightFalse
0.272385,0.046556,"(-37.06622314453125, 1.2024527788162231, -1.0507941246032715)","(359.2527770996094, 89.9916763305664, 0.4310954213142395)","(-36.392311096191406, 0.7793735265731812, -0.7406546473503113)","(-0.005091478582471609, 313.01519775390625, -0.0047567980363965034)","(-37.18998718261719, -0.004257348831743002, -1.4000005722045898)","(0.006967802997678518, 89.9614486694336, -1.6258384860634578e-08)",0.0,0.002655,"(0.001546, 0.005251, -0.000001)",LeftFalse_RightFalse,False,"(-1.1499452590942383, -0.003883565776050091, 35.60855484008789)","(0.0011441772803664207, 179.3683319091797, -1.2139081263740081e-05)",-0.003379,-0.045527,"(0.000191, -0.000235, -0.005570)",LeftFalse_RightFalse
0.341049,0.050979,"(-37.066226959228516, 1.2027193307876587, -1.0507533550262451)","(359.25201416015625, 90.01448059082031, 0.46678611636161804)","(-36.39226531982422, 0.7796444296836853, -0.7406598925590515)","(-0.004825027193874121, 313.0155944824219, -0.004507869016379118)","(-37.18994140625, -0.00399148091673851, -1.4000004529953003)","(0.006603163201361895, 89.96183013916016, -9.796718991594844e-09)",0.0,0.002655,"(0.001394, 0.002720, 0.000000)",LeftFalse_RightFalse,False,"(-1.1499431133270264, -0.003897162154316902, 35.60847091674805)","(0.001406586728990078, 179.3680877685547, 3.4869783121393993e-05)",0.004919,-0.045694,"(0.000008, -0.000166, -0.000012)",LeftFalse_RightFalse
0.40271,0.053116,"(-37.06619644165039, 1.2028307914733887, -1.0507380962371826)","(359.1976623535156, 90.01024627685547, 0.5201631188392639)","(-36.3922233581543, 0.7797679901123047, -0.7406381368637085)","(-0.004066786728799343, 313.0140380859375, -0.003801556071266532)","(-37.18986511230469, -0.0038823364302515984, -1.4000004529953003)","(0.005566917825490236, 89.96026611328125, 1.5168239997365163e-06)",0.0,0.002258,"(0.001978, 0.001230, -0.000001)",LeftFalse_RightFalse,False,"(-1.149938941001892, -0.0039055561646819115, 35.60839080810547)","(0.0012764340499415994, 179.36883544921875, 2.1484311218955554e-05)",0.000485,-0.045839,"(0.000055, -0.000119, -0.001191)",LeftFalse_RightFalse
0.464661,0.05488,"(-37.06662368774414, 1.2028745412826538, -1.0503041744232178)","(359.1991882324219, 89.9948959350586, 0.5548362135887146)","(-36.392189025878906, 0.7798223495483398, -0.74062579870224)","(-0.003406909294426441, 313.01312255859375, -0.0031815061811357737)","(-37.1898078918457, -0.0038406189996749163, -1.4000004529953003)","(0.00466143898665905, 89.95938110351562, -1.0740956213339814e-06)",0.0,0.000763,"(-0.000454, 0.000400, 0.000002)",LeftFalse_RightFalse,False,"(-1.1499346494674683, -0.003911539446562529, 35.60829544067383)","(0.0010528347920626402, 179.36790466308594, 1.7967919347938732e-06)",-0.004939,-0.045991,"(0.000105, -0.000081, -0.002129)",LeftFalse_RightFalse
0.535843,0.058141,"(-37.06684494018555, 1.2028818130493164, -1.0501173734664917)","(359.2335510253906, 89.95299530029297, 0.6278935074806213)","(-36.392189025878906, 0.7798395752906799, -0.7406403422355652)","(-0.0027923621237277985, 313.0141906738281, -0.002608552109450102)","(-37.18981170654297, -0.0038350753020495176, -1.4000004529953003)","(0.0038212339859455824, 89.9604263305664, -1.9781035121013701e-07)",0.0,-0.001099,"(0.000276, -0.000098, 0.000000)",LeftFalse_RightFalse,False,"(-1.1499398946762085, -0.003915694076567888, 35.6083869934082)","(0.0012579598696902394, 179.36764526367188, 4.5601245801663026e-05)",0.002812,-0.046161,"(0.000000, -0.000048, 0.000002)",LeftFalse_RightFalse
0.599014,0.059147,"(-37.0668830871582, 1.202872395515442, -1.050070881843567)","(359.3005065917969, 89.87647247314453, 0.5802023410797119)","(-36.39216995239258, 0.7798399925231934, -0.7406521439552307)","(-0.002181215910241008, 313.0150146484375, -0.002040090272203088)","(-37.189788818359375, -0.003846304025501013, -1.4000005722045898)","(0.0029865815304219723, 89.96126556396484, 1.6394914155171136e-06)",0.0,-0.001678,"(-0.000710, -0.000231, -0.000004)",LeftFalse_RightFalse,False,"(-1.1499378681182861, -0.003918034955859184, 35.608341217041016)","(0.0009877699194476008, 179.36729431152344, 9.743854207044933e-06)",-0.003759,-0.046313,"(0.000120, -0.000032, -0.002505)",LeftFalse_RightFalse
0.661926,0.059902,"(-37.066829681396484, 1.202858567237854, -1.050053358078003)","(359.32440185546875, 89.83103942871094, 0.5269362330436707)","(-36.39208984375, 0.7798368334770203, -0.7406543493270874)","(-0.0015119928866624832, 313.01519775390625, -0.0014133919030427933)","(-37.189697265625, -0.003862184239551425, -1.4000004529953003)","(0.002069733804091811, 89.96142578125, 5.70710994907131e-07)",0.0,-0.001678,"(0.001913, -0.000259, 0.000003)",LeftFalse_RightFalse,False,"(-1.1499402523040771, -0.003919572103768587, 35.60837173461914)","(0.0009955668356269598, 179.36717224121094, 2.3249414880410768e-05)",0.007241,-0.046464,"(-0.000006, -0.000023, 0.000001)",LeftFalse_RightFalse
0.722702,0.060075,"(-37.06678009033203, 1.2028446197509766, -1.0500459671020508)","(359.2861328125, 89.82341003417969, 0.5653461217880249)","(-36.39202880859375, 0.779829740524292, -0.7406473755836487)","(-0.0010967070702463388, 313.0146789550781, -0.0010223521385341883)","(-37.18962478637695, -0.0038772968109697104, -1.4000003337860107)","(0.0014993223594501615, 89.9609375, -1.658094674894528e-06)",0.0,-0.001343,"(0.002231, -0.000237, 0.000005)",LeftFalse_RightFalse,False,"(-1.1499382257461548, -0.003920617047697306, 35.60832214355469)","(0.000789922138210386, 179.3667755126953, -6.945891755094635e-07)",-0.001811,-0.046611,"(0.000063, -0.000014, -0.001605)",LeftFalse_RightFalse
0.787735,0.061067,"(-37.06671905517578, 1.2028316259384155, -1.0490713119506836)","(359.18402099609375, 89.81221771240234, 0.6029633283615112)","(-36.391963958740234, 0.779819905757904, -0.7406739592552185)","(-0.0008944427827373147, 313.0166015625, -0.0008370736613869667)","(-37.189579010009766, -0.0038909304421395063, -1.4000003337860107)","(0.0012250385480001569, 89.96284484863281, 1.038973323375103e-06)",0.00119,-0.001099,"(0.000285, -0.000179, -0.000003)",LeftFalse_RightFalse,False,"(-1.149932861328125, -0.0039215171709656715, 35.60822677612305)","(0.0007565564010292292, 179.3657684326172, -1.3744782336289063e-05)",0.001516,-0.04677,"(0.000012, -0.000004, -0.000004)",LeftFalse_RightFalse
0.848801,0.061069,"(-37.066680908203125, 1.2028220891952515, -1.048750877380371)","(359.19580078125, 89.81451416015625, 0.5940573215484619)","(-36.39192581176758, 0.7798123955726624, -0.7406821250915527)","(-0.000774061365518719, 313.0172119140625, -0.0007240030681714416)","(-37.189544677734375, -0.0039007170125842094, -1.4000000953674316)","(0.0010598825756460428, 89.96344757080078, 5.992674232402351e-07)",0.007421,-0.001099,"(-0.000113, -0.000136, -0.000001)",LeftFalse_RightFalse,False,"(-1.149932861328125, -0.0039218575693666935, 35.60823059082031)","(0.0008583018789067864, 179.36692810058594, 1.1017004908353556e-05)",0.000121,-0.046912,"(0.000041, 0.000001, -0.000924)",LeftFalse_RightFalse
0.915207,0.062135,"(-37.066131591796875, 1.2028149366378784, -1.0481234788894653)","(359.2939758300781, 89.8560791015625, 0.5884953141212463)","(-36.3918342590332, 0.7798088788986206, -0.7406789064407349)","(-0.000547864765394479, 313.0169677734375, -0.0005115728708915412)","(-37.18944549560547, -0.003908549435436726, -1.4000000953674316)","(0.000749574915971607, 89.96321868896484, -2.054444934174171e-07)",0.02771,-0.001099,"(0.002363, -0.000099, 0.000003)",LeftFalse_RightFalse,False,"(-1.1499276161193848, -0.003921792842447758, 35.608131408691406)","(0.0005233566043898463, 179.36756896972656, -2.882019180105999e-05)",-0.001031,-0.047071,"(0.000040, -0.000003, -0.000683)",LeftFalse_RightFalse
0.975845,0.061836,"(-37.06574630737305, 1.2028110027313232, -1.0479295253753662)","(359.3636169433594, 89.8880844116211, 0.6471543312072754)","(-36.3915901184082, 0.7798119187355042, -0.7406694889068604)","(-0.00011612389789661393, 313.0163269042969, -0.00010712307994253933)","(-37.189186096191406, -0.003913785796612501, -1.3999998569488525)","(0.00015798452659510076, 89.96255493164062, -9.996691687774728e-07)",0.061841,-0.001099,"(0.006854, -0.000074, 0.000010)",LeftFalse_RightFalse,False,"(-1.1499319076538086, -0.003921613097190857, 35.60820388793945)","(0.0007826600340195, 179.36849975585938, 2.1718044081353582e-05)",0.018989,-0.047213,"(-0.000011, -0.000002, -0.000002)",LeftFalse_RightFalse
