ScenarioTime,FrameRate,A VR Pos,A VR Rot,A XR Origin Pos,A XR Origin  Rot,A car Pos,A car Rot,A accel,A steering,A velocity,A indicators,A Horn Button,0 car Pos,0 car Rot,0 accel,0 steering,0 velocity,0 indicators
0.0,0.013345,"(-34.9404411315918, 1.1569191217422485, -0.9353259205818176)","(355.6935119628906, 22.683696746826172, 0.12379748374223709)","(-34.9553337097168, 0.7653127908706665, -0.8097725510597229)","(0.0007012601126916707, 95.32476806640625, 6.45631953375414e-05)","(-34.999996185302734, -0.003921370953321457, -1.3999998569488525)","(0.0007042253855615854, 90.00003051757812, -7.92674427430029e-07)",0.0,-0.010559,"(0.000000, -0.000002, 0.000000)",LeftFalse_RightFalse,False,"(1.3997828960418701, -0.003921926021575928, -35.00026321411133)","(0.0006881001754663885, 0.006567616946995258, -5.520500963029917e-06)",0.0,0.0,"(0.000000, 0.000001, 0.000000)",LeftFalse_RightFalse
0.075897,0.025857,"(-34.91905975341797, 1.1583770513534546, -0.9575469493865967)","(355.60693359375, 42.51821517944336, 2.5418827533721924)","(-34.955318450927734, 0.7653127908706665, -0.8097730278968811)","(0.0006587899988517165, 95.32530975341797, 5.747117756982334e-05)","(-34.99998474121094, -0.003921419847756624, -1.3999998569488525)","(0.0006612804136238992, 90.0005874633789, -3.912799002137035e-06)",0.0,-0.010559,"(0.000510, -0.000001, 0.000009)",LeftFalse_RightFalse,False,"(1.3997828960418701, -0.003921866416931152, -35.00026321411133)","(0.0006921265739947557, 0.006567616946995258, -3.8091418446128955e-06)",0.001355,-0.152295,"(0.000000, 0.000001, 0.000000)",LeftFalse_RightFalse
0.181641,0.041833,"(-34.90559387207031, 1.1599173545837402, -0.9815951585769653)","(354.8956604003906, 58.272708892822266, 3.184326171875)","(-34.955299377441406, 0.7653124332427979, -0.8097719550132751)","(0.000685480423271656, 95.32477569580078, 6.409982597688213e-05)","(-34.999961853027344, -0.00392173882573843, -1.3999993801116943)","(0.0006884709582664073, 90.00003814697266, 2.103167702216524e-07)",0.0,-0.010559,"(0.001085, 0.000001, 0.000008)",LeftFalse_RightFalse,False,"(1.3997867107391357, -0.00392173882573843, -35.00028991699219)","(0.0008314387523569167, 0.005303711164742708, 6.957236473681405e-05)",0.000647,-0.056558,"(0.000049, 0.000002, -0.000184)",LeftFalse_RightFalse
0.288849,0.054909,"(-34.901302337646484, 1.16382896900177, -1.0051816701889038)","(352.7364501953125, 68.48095703125, 3.0181727409362793)","(-34.95534133911133, 0.7653124928474426, -0.8097723722457886)","(0.0008235712302848697, 95.32478332519531, 7.936648034956306e-05)","(-35.000003814697266, -0.003921549301594496, -1.3999998569488525)","(0.0008273826097138226, 90.00005340576172, 2.5962083327613072e-06)",0.004366,-0.010559,"(-0.000593, 0.000002, -0.000003)",LeftFalse_RightFalse,False,"(1.3997893333435059, -0.003921608906239271, -35.000301361083984)","(0.0007946313126012683, 0.003568751271814108, 2.6378213078714907e-05)",-0.000198,-0.055376,"(-0.000036, 0.000002, 0.001195)",LeftFalse_RightFalse
0.395844,0.065325,"(-34.90068435668945, 1.1648777723312378, -1.0237528085708618)","(352.3041687011719, 74.06002807617188, 2.720427989959717)","(-34.955284118652344, 0.7653124928474426, -0.8097704648971558)","(0.0005737448227591813, 95.3229751586914, 5.1263574277982116e-05)","(-34.99992370605469, -0.00392174581065774, -1.3999992609024048)","(0.0005760263302363455, 89.99823760986328, -2.201395545853302e-06)",0.016628,-0.010559,"(0.000322, -0.000004, -0.000001)",LeftFalse_RightFalse,False,"(1.3997958898544312, -0.003921388648450375, -35.00041198730469)","(0.0007129171281121671, 0.0036061001010239124, -4.496017481869785e-06)",0.000836,-0.05419,"(0.000000, -0.000004, -0.000005)",LeftFalse_RightFalse
0.502045,0.073503,"(-34.90254211425781, 1.164878487586975, -1.0358797311782837)","(352.73138427734375, 75.5793228149414, 1.4905649423599243)","(-34.954933166503906, 0.7653126120567322, -0.8097665905952454)","(-0.0001361805625492707, 95.32072448730469, -2.6353727662353776e-05)","(-34.999542236328125, -0.003922333009541035, -1.3999969959259033)","(-0.0001380385656375438, 89.9959945678711, -1.3602397302747704e-05)",0.024091,-0.010559,"(0.004976, -0.000010, 0.000020)",LeftFalse_RightFalse,False,"(1.399796962738037, -0.003921666648238897, -35.00042724609375)","(0.0006949251983314753, 0.0027164320927113295, -6.6656407398113515e-06)",0.011387,-0.053079,"(0.000022, -0.000002, -0.000234)",LeftFalse_RightFalse
0.618591,0.082108,"(-34.9000358581543, 1.167155146598816, -1.0422362089157104)","(351.7547912597656, 76.98320007324219, 0.5091803073883057)","(-34.953956604003906, 0.7653121948242188, -0.8097622990608215)","(-0.0011552645592018962, 95.32038879394531, -0.00013316488184500486)","(-34.9985466003418, -0.003923661075532436, -1.399992823600769)","(-0.0011626373743638396, 89.99565124511719, -2.53812122537056e-05)",0.070886,-0.010559,"(0.012690, -0.000014, 0.000057)",LeftFalse_RightFalse,False,"(1.3997890949249268, -0.003922067116945982, -35.000160217285156)","(-1.0885129995585885e-05, 0.0026752129197120667, -8.778114715823904e-05)",0.023707,-0.051904,"(-0.000102, -0.000009, 0.003808)",LeftFalse_RightFalse
0.735199,0.089011,"(-34.896663665771484, 1.1671570539474487, -1.0454626083374023)","(352.1452331542969, 78.30835723876953, 0.8966321349143982)","(-34.95153045654297, 0.7653117775917053, -0.8097527623176575)","(-0.003537118900567293, 95.32159423828125, -0.00038361092447303236)","(-34.99610137939453, -0.003926189616322517, -1.39998197555542)","(-0.003557454328984022, 89.99686431884766, -5.370935832615942e-05)",0.138014,-0.010559,"(0.029875, -0.000029, 0.000134)",LeftFalse_RightFalse,False,"(1.3997690677642822, -0.00392334396019578, -34.99937057495117)","(-0.0008877022773958743, 0.00036500030546449125, -0.00011983067088294774)",0.06323,-0.050847,"(-0.000199, -0.000013, 0.008982)",LeftFalse_RightFalse
0.849762,0.094122,"(-34.888710021972656, 1.1659581661224365, -1.0446239709854126)","(352.8687744140625, 78.97859954833984, 1.1678720712661743)","(-34.945735931396484, 0.7653110027313232, -0.8097278475761414)","(359.9908142089844, 95.3222885131836, -0.0009816800011321902)","(-34.990238189697266, -0.0039321789517998695, -1.3999555110931396)","(359.99078369140625, 89.99755859375, -0.00012617047468665987)",0.216789,-0.010559,"(0.069215, -0.000070, 0.000305)",LeftFalse_RightFalse,False,"(1.399723768234253, -0.003925759345293045, -34.99724197387695)","(-0.003086961107328534, 0.00046903220936656, -0.00021692164591513574)",0.136864,-0.049955,"(-0.000512, -0.000029, 0.025743)",LeftFalse_RightFalse
0.968536,0.099054,"(-34.875789642333984, 1.164818286895752, -1.0436545610427856)","(353.4924011230469, 79.40483856201172, 1.493003010749817)","(-34.933937072753906, 0.7653076648712158, -0.8096743822097778)","(359.9825439453125, 95.31962585449219, -0.0018486239714547992)","(-34.978302001953125, -0.003942960873246193, -1.3999028205871582)","(359.9824523925781, 89.9948959350586, -0.00022076215827837586)",0.292765,-0.006317,"(0.128391, -0.000105, 0.000553)",LeftFalse_RightFalse,False,"(1.3996057510375977, -0.003931728657335043, -34.99162292480469)","(359.9914245605469, -0.00559500977396965, -0.0005302443169057369)",0.225011,-0.049506,"(-0.001320, -0.000067, 0.065138)",LeftFalse_RightFalse
